lactkey,Breed,CalveDate,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
4122861, H, 2006-05-03, 3, 53.5, 26.8, 0, 0.0022, 9, 2.7, 11155, 58.7, 44.32, 36, 43.1, 66, 43.6, 99, 40.9, 127, 44.9, 157, 38.1, 191, 30, 219, 36.8, 247, 30.9, 282, 27.7 
4122886, H, 2006-05-04, 3, 78.4, 32.7, 0, 0.0047, 9, 6.4, 11557, 43.2, 55.43, 35, 52.2, 65, 53.1, 98, 46.3, 126, 55.4, 156, 44.9, 190, 27.2, 218, 24.5, 246, 16.3, 281, 14.5 
4122697, H, 2006-04-28, 3, 62.5, 8.7, 0, 0.0025, 10, 6.1, 13123, 27.6, 57.21, 8, 50.8, 41, 45.4, 71, 50.4, 104, 52.7, 132, 42.7, 162, 33.1, 196, 32.2, 224, 36.8, 252, 40.4, 287, 38.6 
4122790, H, 2006-05-04, 3, 58.7, 9.9, 0, 0.0042, 8, 7.6, 9846, 25.1, 50.77, 35, 48.6, 65, 44.9, 98, 48.1, 126, 48.6, 156, 20, 190, 29.1, 218, 19.5, 246, 14.1 
4123059, H, 2006-04-27, 2, 66.9, 23.8, -0.8, 0.0022, 10, 3.1, 14139, 54.3, 56.52, 9, 44.5, 42, 54, 72, 52.2, 105, 59, 133, 53.1, 163, 44.9, 197, 41.3, 225, 39.5, 253, 42.2, 288, 33.1 
4122801, H, 2006-05-04, 3, 62.5, 40.4, 0, 0.0015, 9, 3.6, 14039, 87.1, 51.63, 35, 48.6, 65, 47.7, 98, 48.6, 126, 56.7, 156, 46.8, 190, 43.6, 218, 43.6, 246, 41.3, 281, 46.8 
4122630, H, 2006-04-21, 3, 62.5, 42.3, 0, 0.0014, 10, 3.8, 14240, 92.7, 51.87, 15, 40.4, 48, 48.6, 78, 48.1, 111, 43.6, 139, 55.8, 169, 50.4, 203, 46.3, 231, 41.8, 259, 44.9, 294, 45.9 
4122571, H, 2006-05-10, 4, 67.8, 9.4, 0, 0.0019, 10, 3.2, 15394, 31.6, 62.77, 29, 64.9, 59, 60.4, 92, 52.7, 120, 52.7, 150, 56.3, 184, 43.1, 212, 48.6, 240, 46.3, 275, 41.8, 304, 35.4 
4122804, H, 2006-04-19, 3, 50.5, 14.3, 0, 0.0016, 10, 3.6, 11839, 44.6, 46.01, 17, 42.2, 50, 49, 80, 36.3, 113, 43.6, 141, 38.6, 171, 41.3, 205, 40, 233, 39.5, 261, 32.7, 296, 28.6 
4122524, H, 2006-05-11, 5, 59.4, 35.9, 0, 0.0041, 10, 6.6, 9349, 48.5, 42.34, 28, 38.6, 58, 44, 91, 30, 119, 45.9, 149, 35.9, 183, 31.8, 211, 21.8, 239, 30, 274, 13.2, 303, 6.8 
4122748, H, 2006-04-17, 3, 68.4, 17.2, 0, 0.0036, 10, 3.3, 12065, 36.9, 56.35, 19, 53.6, 52, 54.5, 82, 52.7, 115, 46.8, 143, 42.7, 173, 30, 207, 27.7, 235, 30, 263, 31.8, 298, 23.2 
4123096, H, 2006-05-15, 2, 50.2, 19.1, -0.8, 0.0022, 10, 3, 10702, 47.5, 43.41, 24, 46.3, 54, 48.6, 87, 44.5, 115, 40.4, 145, 39, 179, 35, 207, 30.4, 235, 28.1, 270, 24.5, 299, 25 
4123048, H, 2006-04-17, 2, 71.1, 23.1, -0.8, 0.0031, 10, 3.4, 13265, 45.7, 57.6, 19, 55.4, 52, 52.2, 82, 52.2, 115, 57.7, 143, 44.9, 173, 44, 207, 35.4, 235, 33.6, 263, 30, 298, 28.1 
4123007, H, 2006-05-18, 2, 66, 24.2, -0.8, 0.0021, 10, 5.2, 14001, 55.3, 55.72, 21, 50.4, 51, 52.2, 84, 51.3, 112, 56.3, 142, 60.4, 176, 36.8, 204, 39, 232, 43.1, 267, 37.2, 296, 34 
4122602, H, 2006-04-16, 4, 53.5, 8.8, 0, 0.0038, 10, 5, 9425, 24.1, 47.21, 20, 48.6, 53, 45.9, 83, 37.7, 116, 34, 144, 43.1, 174, 30, 208, 24.5, 236, 13.6, 264, 15.4, 299, 15.4 
4122707, H, 2006-05-19, 3, 56.4, 27.8, 0, 0.0028, 10, 3, 10872, 54.2, 45.09, 20, 40, 50, 45.9, 83, 37.7, 111, 47.2, 141, 40.9, 175, 32.7, 203, 32.2, 231, 30, 266, 26.3, 295, 22.7 
4123016, H, 2006-04-15, 2, 64.5, 23.3, -0.8, 0.0017, 10, 3.3, 14570, 59, 56.01, 21, 49, 54, 56.7, 84, 52.7, 117, 53.1, 145, 56.7, 175, 48.1, 209, 39.5, 237, 39, 265, 42.2, 300, 41.3 
4123029, H, 2006-05-19, 2, 62.2, 19.1, -0.8, 0.0013, 10, 3.7, 15120, 57.5, 56.43, 20, 56.3, 50, 55.4, 83, 53.1, 111, 52.7, 141, 51.3, 175, 44.5, 203, 44.9, 231, 44.9, 266, 50.4, 295, 46.8 
4122807, H, 2006-04-14, 2, 50.2, 19.1, -0.8, 0.0023, 10, 5.9, 10478, 46.3, 43.1, 22, 49.5, 55, 48.6, 85, 35.9, 118, 43.6, 146, 35.4, 176, 25.9, 210, 20, 238, 28.6, 266, 28.6, 301, 28.1 
4122753, H, 2006-05-21, 3, 69.4, 33.4, 0, 0.0029, 10, 4.9, 13039, 58.3, 53.63, 18, 48.6, 48, 52.7, 81, 44, 109, 55.4, 139, 53.6, 173, 38.6, 201, 40.4, 229, 31.8, 264, 37.7, 293, 25.4 
4122849, H, 2006-04-09, 3, 74.3, 38, 0, 0.002, 9, 5.2, 15694, 75, 59.68, 27, 54.9, 60, 50.4, 90, 62.7, 123, 62.7, 151, 58.6, 181, 54, 215, 39, 243, 48.6, 271, 42.7 
4123040, H, 2006-05-23, 2, 50.2, 20, -0.8, 0.0017, 10, 5.8, 11379, 53.2, 44.19, 16, 47.7, 46, 34.5, 79, 44.5, 107, 43.1, 137, 40.9, 171, 36.8, 199, 24.5, 227, 38.1, 262, 32.7, 291, 33.1 
4123013, H, 2006-04-05, 2, 37.1, 21.3, -0.8, 0.0011, 9, 3, 9274, 65.7, 33.86, 31, 35.4, 64, 36.3, 94, 26.8, 127, 29.5, 155, 30, 185, 32.7, 219, 29.5, 247, 30, 275, 29.1 
4122823, H, 2006-05-24, 3, 72.3, 32.6, -0, 0.002, 10, 4.6, 15344, 68.3, 59.16, 15, 55.4, 45, 50.4, 78, 57.7, 106, 60.4, 136, 56.3, 170, 49, 198, 51.3, 226, 49, 261, 35.4, 290, 43.6 
4122534, H, 2006-03-31, 4, 68.3, 31.8, 0, 0.0025, 10, 5.8, 13527, 60.8, 54.34, 8, 43.6, 36, 49.5, 69, 53.1, 99, 54.5, 132, 49.5, 160, 55.4, 190, 29.1, 224, 35.4, 252, 35.9, 280, 39.5 
4122618, H, 2006-05-26, 4, 76.7, 37.7, 0, 0.0028, 10, 4.1, 14447, 62.8, 58.34, 13, 47.7, 43, 57.2, 76, 52.7, 104, 55.4, 134, 61.7, 168, 48.6, 196, 44.5, 224, 41.3, 259, 38.6, 288, 27.7 
4122709, H, 2006-03-25, 2, 73.8, 23.6, -0.8, 0.0015, 10, 2.9, 17272, 62.8, 65.03, 14, 54.5, 42, 59.5, 75, 66.7, 105, 64.9, 138, 65.4, 166, 56.3, 196, 50.8, 230, 50.4, 258, 51.8, 286, 49.9 
4122869, H, 2006-05-30, 2, 67.9, 23.1, -0.8, 0.0019, 10, 3.1, 14909, 56.1, 58.37, 9, 41.3, 39, 61.7, 72, 52.7, 100, 59.9, 130, 52.7, 164, 48.6, 192, 47.7, 220, 45.9, 255, 43.1, 284, 35.9 
4122932, H, 2006-03-25, 2, 66.2, 24.9, -0.8, 0.0023, 10, 6.2, 13775, 54.9, 55.32, 14, 45.9, 42, 54, 75, 48.1, 105, 48.6, 138, 56.3, 166, 59, 196, 43.6, 230, 35.9, 258, 36.3, 286, 25.9 
4122969, H, 2006-06-03, 2, 65.9, 21.7, -0.8, 0.0017, 10, 3, 14951, 56.4, 57.7, 5, 42.2, 35, 57.2, 68, 57.7, 96, 48.1, 126, 58.1, 160, 50.4, 188, 48.1, 216, 44.5, 251, 44, 280, 40.4 
4122553, H, 2006-03-18, 4, 61, 37, 0, 0.0028, 10, 4, 11431, 61.7, 46.4, 21, 44.9, 49, 37.2, 82, 46.8, 112, 48.6, 145, 43.6, 173, 39, 203, 35, 237, 30, 265, 27.7, 293, 22.2 
4122785, H, 2006-06-04, 3, 57.3, 17.7, 0, 0.0014, 9, 2.6, 13634, 53.2, 51.82, 34, 51.8, 67, 50.8, 95, 51.8, 125, 45.9, 159, 40.4, 187, 45.4, 215, 44.5, 250, 44, 279, 37.2 
4122928, H, 2006-03-18, 2, 73.2, 22.9, -0.8, 0.0028, 10, 5.9, 14237, 47.8, 60.19, 21, 57.2, 49, 57.2, 82, 56.3, 112, 56.7, 145, 53.6, 173, 49.9, 203, 26.3, 237, 37.7, 265, 41.8, 293, 30.4 
4122846, H, 2006-06-04, 3, 64.9, 32, 0, 0.0044, 9, 4, 9899, 44.5, 46.57, 34, 44, 67, 44.5, 95, 43.6, 125, 43.6, 159, 32.7, 187, 29.5, 215, 21.3, 250, 18.2, 279, 10.9 
4122758, H, 2006-03-16, 3, 78.1, 31.2, 0, 0.0022, 10, 4, 16144, 63.9, 63.42, 23, 56.7, 51, 63.6, 84, 58.6, 114, 62.2, 147, 55.8, 175, 59.5, 205, 53.6, 239, 37.7, 267, 45.4, 295, 39 
