,Herd A,Herd B,Herd C,Herd D,Herd E,Herd F,Herd G,Herd H,Herd I,Herd J,Herd K,Herd L,Herd M,Herd N,Herd O,Herd P,Herd Q,Herd R,Herd S,Herd T,Herd U
Scale,20,17,15,13,15,13,13,14,16,17,14,14,15,13,14,13,16,14,13,14,15
Ramp,10,12,8,12,10,7,6,5,10,13,7,10,10,6,8,5,11,7,7,16,4
Offset,1,11,11,1,4,5,3,6,4,4,3,1,11,3,11,1,1,5,3,4,3
Decay,10,11,18,18,18,13,9,10,12,13,14,12,10,15,10,12,12,10,14,9,12
RMSE,17,18,19,7,8,11,9,6,8,17,6,7,13,19,6,8,10,10,7,19,9
M305,20,18,19,18,14,13,13,15,15,15,12,14,16,15,16,17,18,17,17,18,16
PeakDay,11,10,15,18,18,10,8,10,15,14,15,15,10,9,12,10,15,12,15,15,11
PeakMilk,20,17,17,14,13,14,14,14,16,17,13,15,15,15,15,16,16,17,15,16,17
