,Herd A,Herd B,Herd C,Herd D,Herd E,Herd F,Herd G,Herd H,Herd I,Herd J,Herd K,Herd L,Herd M,Herd N,Herd O,Herd P,Herd Q,Herd R,Herd S,Herd T,Herd U
Scale,19,19,18,18,18,8,11,19,13,11,11,14,16,11,8,9,11,14,13,20,11
Ramp,13,10,12,6,10,8,15,10,11,5,9,8,13,9,14,9,20,10,10,5,19
Offset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decay,17,9,17,9,9,16,9,8,7,15,8,15,13,7,8,10,18,9,10,7,17
RMSE,17,14,20,14,9,9,9,9,9,12,12,16,11,16,14,10,9,11,9,20,12
M305,19,20,19,18,17,16,14,18,15,11,10,11,19,10,10,11,11,13,11,20,13
PeakDay,11,3,14,6,4,12,2,9,4,7,10,8,7,7,9,5,4,5,4,5,16
PeakMilk,19,19,19,18,17,11,9,18,14,7,11,10,12,10,9,8,13,12,10,17,9
