lactkey,Breed,CalveDate,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
5090138, H, 2006-02-08, 1, 53.6, 35.2, -0.5, 0.0009, 10, 4.7, 13309, 96.8, 47.49, 13, 28.1, 41, 40, 69, 47.7, 97, 50.4, 132, 57.2, 160, 45.9, 195, 45.9, 223, 43.1, 255, 42.2, 286, 34.5 
5094249, H, 2006-02-08, 1, 36.3, 32.1, -0.5, 0.0005, 10, 1.5, 9713, 112.1, 33.91, 17, 26.8, 45, 30, 73, 31.3, 107, 34.5, 143, 33.6, 169, 33.1, 204, 34.5, 233, 35.4, 265, 32.7, 290, 29.5 
5094203, H, 2006-02-07, 1, 49, 31.3, -0.5, 0.002, 10, 2.4, 10514, 67.1, 40.48, 18, 32.2, 46, 41.8, 74, 38.6, 108, 40.4, 144, 36.3, 170, 36.3, 205, 35.4, 234, 34, 266, 24.5, 291, 25.9 
5094274, H, 2006-02-08, 1, 47.4, 32.5, -0.5, 0.0025, 10, 3.1, 9410, 61.2, 37.66, 17, 31.8, 45, 35.4, 73, 35, 107, 38.6, 143, 36.8, 169, 34.5, 204, 31.8, 233, 22.2, 265, 20.4, 290, 20.4 
5093954, J, 2006-02-07, 1, 42.7, 29.4, -0.5, 0.0012, 10, 4.2, 10354, 79.6, 37.68, 18, 30.9, 46, 44.5, 74, 34, 108, 30.9, 144, 38.1, 170, 33.6, 205, 30, 234, 38.1, 266, 32.7, 291, 30 
5090096, H, 2006-02-09, 1, 45.7, 32.5, -0.5, 0.0004, 10, 3.9, 12437, 121.8, 43.23, 12, 32.7, 40, 35.4, 68, 44.5, 96, 37.7, 131, 40.9, 159, 45.4, 194, 43.1, 222, 50.4, 254, 40.4, 285, 37.2 
5090048, H, 2006-02-05, 1, 54.9, 33.2, -0.5, 0.0008, 9, 2.6, 13944, 98.1, 49.45, 16, 36.8, 44, 44, 72, 47.7, 100, 51.8, 135, 49.5, 163, 53.1, 198, 48.6, 226, 44.9, 258, 40.4 
5090108, H, 2006-02-09, 1, 43.3, 36.6, -0.5, 0.0008, 10, 5.3, 10944, 105.2, 38.73, 12, 15.4, 40, 34, 68, 39, 96, 40, 131, 43.1, 159, 45.4, 194, 40, 222, 37.2, 254, 30, 285, 30.4 
5094336, H, 2006-02-04, 1, 41.7, 31.4, -0.5, 0.0008, 10, 3.8, 10555, 92.4, 37.59, 21, 38.1, 49, 26.8, 77, 37.7, 111, 36.3, 147, 38.1, 173, 37.2, 208, 35.9, 237, 34.5, 269, 33.1, 294, 31.8 
5090118, H, 2006-02-09, 1, 50.6, 32.7, -0.5, 0.0012, 10, 3, 12177, 84.9, 44.19, 12, 30, 40, 42.7, 68, 40, 96, 46.3, 131, 46.8, 159, 45.4, 194, 39, 222, 38.6, 254, 40.4, 285, 31.3 
5093856, H, 2006-02-02, 1, 29.3, 31.6, -0.5, 0.0017, 10, 4.1, 6494, 71.2, 24.56, 23, 24.1, 51, 16.3, 79, 28.1, 113, 24.1, 149, 25.9, 175, 26.8, 210, 13.6, 239, 18.2, 271, 19.1, 296, 16.8 
5094187, H, 2006-02-09, 1, 47.7, 33.4, -0.5, 0.0012, 10, 3.1, 11369, 84.7, 41.36, 16, 33.1, 44, 36.8, 72, 38.6, 106, 41.3, 142, 44, 168, 39.5, 203, 38.6, 232, 40.9, 264, 34, 289, 27.2 
5093981, H, 2006-02-01, 1, 45.5, 31.8, -0.5, 0.0009, 10, 2.7, 11420, 91.4, 40.78, 24, 30.9, 52, 42.7, 80, 40.4, 114, 37.2, 150, 40.4, 176, 42.2, 211, 40.9, 240, 38.1, 272, 31.8, 297, 33.6 
5089926, H, 2006-02-10, 1, 44.2, 30, -0.5, 0.0002, 10, 2.9, 12457, 139.2, 42.99, 11, 32.7, 39, 39.5, 67, 37.2, 95, 43.1, 130, 38.6, 158, 46.8, 193, 40, 221, 44.9, 253, 41.8, 284, 44.5 
5089964, H, 2006-02-01, 1, 50.9, 30.2, -0.5, 0.0009, 10, 5, 12842, 88.7, 45.86, 20, 37.2, 48, 47.2, 76, 42.7, 104, 41.3, 139, 49.9, 167, 42.2, 202, 39, 230, 47.7, 262, 47.7, 293, 30.4 
5093984, H, 2006-02-11, 1, 42, 28.6, -0.5, 0.0004, 10, 2.9, 11440, 108.1, 39.77, 14, 29.5, 42, 39, 70, 41.3, 104, 35, 140, 41.8, 166, 36.3, 201, 34.5, 230, 39.5, 262, 39, 287, 41.3 
5094313, H, 2006-01-31, 1, 34.1, 28.5, -0.5, 0.0003, 10, 6, 9509, 119.7, 32.86, 25, 28.6, 53, 30, 81, 40, 115, 27.2, 151, 32.2, 177, 27.2, 212, 20.9, 241, 40, 273, 39, 298, 30.9 
5090111, H, 2006-02-12, 1, 58.2, 33.6, -0.5, 0.002, 10, 4.3, 12342, 69.2, 47.45, 9, 34, 37, 39.5, 65, 49, 93, 54.5, 128, 39.5, 156, 47.2, 191, 43.1, 219, 37.7, 251, 32.2, 282, 29.1 
5094087, H, 2006-01-31, 1, 35.2, 30.2, -0.5, 0.0009, 10, 3.1, 8853, 88.2, 31.65, 25, 26.8, 53, 32.7, 81, 32.7, 115, 25.4, 151, 29.5, 177, 36.3, 212, 25.9, 241, 27.7, 273, 29.5, 298, 26.8 
5090128, H, 2006-02-12, 1, 46.6, 33, -0.5, 0.001, 10, 3, 11502, 90.7, 41.25, 9, 25.9, 37, 37.7, 65, 38.6, 93, 41.8, 128, 44, 156, 42.2, 191, 40, 219, 37.2, 251, 40, 282, 28.6 
5090090, H, 2006-01-31, 1, 47, 29.7, -0.5, 0.001, 10, 4.2, 11592, 83.1, 41.84, 21, 39, 49, 40, 77, 32.7, 105, 48.6, 140, 40.9, 168, 37.7, 203, 40.4, 231, 33.6, 263, 34.5, 294, 37.2 
5093956, H, 2006-02-13, 1, 37.7, 35.8, -0.5, 0.0002, 10, 5.1, 10465, 153.4, 36.33, 12, 15, 40, 26.3, 68, 38.6, 102, 38.6, 138, 44.5, 164, 35, 199, 33.1, 228, 38.1, 260, 38.1, 285, 30 
5090025, H, 2006-01-31, 1, 58.5, 33.6, -0.5, 0.0026, 9, 4.7, 11346, 60.5, 45.81, 21, 37.2, 49, 40.9, 77, 51.3, 105, 44.9, 140, 48.6, 168, 34.5, 203, 35, 231, 31.8, 263, 22.2 
5094192, H, 2006-02-13, 1, 50.5, 32.1, -0.5, 0.001, 10, 3, 12381, 87.2, 44.61, 12, 28.1, 40, 42.7, 68, 46.8, 102, 44, 138, 42.2, 164, 42.2, 199, 44, 228, 44, 260, 39, 285, 31.8 
5094303, H, 2006-01-30, 1, 42.6, 29.5, -0.5, 0.001, 10, 3, 10593, 84, 38.12, 26, 34.5, 54, 39, 82, 37.2, 116, 33.1, 152, 37.7, 178, 35, 213, 35.4, 242, 30.4, 274, 39.5, 299, 30 
5094172, H, 2006-02-15, 1, 40.3, 33, -0.5, 0.0008, 10, 3.3, 10219, 97, 36.28, 10, 26.8, 38, 30, 66, 34, 100, 35, 136, 36.8, 162, 39.5, 197, 38.1, 226, 35.4, 258, 33.1, 283, 24.5 
5094286, H, 2006-01-30, 1, 29.5, 36.6, -0.5, -0.0001, 9, 6.1, 8530, 0, 14.96, 26, 18.2, 54, 11.3, 82, 30.9, 116, 37.7, 152, 32.2, 178, 28.1, 213, 30, 242, 30.4, 274, 28.1 
5094261, H, 2006-02-15, 1, 37.8, 32.8, -0.5, 0.001, 10, 2.3, 9360, 91, 33.54, 10, 23.2, 38, 29.1, 66, 31.3, 100, 34.5, 136, 33.6, 162, 32.2, 197, 35.9, 226, 32.2, 258, 28.1, 283, 24.5 
5094117, H, 2006-01-30, 1, 37.2, 33.7, -0.5, 0.0011, 10, 3.3, 9071, 89.7, 32.66, 26, 26.8, 54, 26.8, 82, 34, 116, 33.6, 152, 35, 178, 30.9, 213, 31.8, 242, 34, 274, 22.7, 299, 24.1 
5094316, J, 2006-02-17, 1, 36, 31.5, -0.5, 0.0003, 10, 4.6, 9857, 121.2, 34.22, 8, 27.2, 36, 26.8, 64, 28.1, 98, 34.5, 134, 41.8, 160, 32.2, 195, 34.5, 224, 26.8, 256, 30.9, 281, 39 
5093770, H, 2006-01-30, 1, 42.4, 30.2, -0.5, 0.0013, 10, 1.4, 9965, 76.4, 36.73, 26, 31.8, 54, 37.7, 82, 37.2, 116, 35.9, 152, 32.7, 178, 32.2, 213, 34.5, 242, 31.8, 274, 29.1, 299, 26.8 
5094365, H, 2006-02-17, 1, 44.8, 30.7, -0.5, 0.0006, 10, 2.7, 11790, 101.7, 41.39, 8, 25.9, 36, 36.3, 64, 42.7, 98, 42.7, 134, 43.1, 160, 34.5, 195, 38.6, 224, 42.2, 256, 40.9, 281, 35.9 
5093506, H, 2006-01-30, 1, 44, 35.1, -0.5, 0.0011, 10, 4.3, 10613, 90.3, 38.29, 26, 29.5, 54, 35.4, 82, 34, 116, 41.3, 152, 40.4, 178, 39.5, 213, 40, 242, 36.8, 274, 29.5, 299, 23.2 
5090040, H, 2006-02-19, 1, 55.4, 30, -0.5, 0.0012, 9, 3.1, 13342, 79.6, 48.66, 30, 43.6, 58, 45.9, 86, 54, 121, 49.9, 149, 45.4, 184, 39, 212, 40.4, 244, 41.8, 275, 43.1 
5090028, H, 2006-01-30, 1, 46.5, 30.5, -0.5, 0.0006, 10, 1.5, 12239, 101.4, 42.97, 22, 37.2, 50, 37.7, 78, 44, 106, 43.1, 141, 40.9, 169, 42.7, 204, 40, 232, 41.3, 264, 40.4, 295, 39 
