lactkey,Breed,CalveDate,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
2514704, H, 2005-05-19, 2, 50.2, 19.1, -0.8, 0.0027, 10, 4.7, 9913, 43.3, 42.34, 8, 44.9, 36, 46.3, 64, 39, 99, 35.9, 127, 36.8, 162, 37.2, 188, 24.5, 217, 30.9, 246, 25.9, 275, 23.6 
2514741, H, 2005-05-22, 2, 50.2, 19.1, -0.8, 0.0022, 10, 9.1, 10702, 47.4, 43.41, 5, 39, 33, 46.8, 61, 35.9, 96, 35.9, 124, 40, 159, 26.3, 185, 14.5, 214, 41.3, 243, 35, 272, 37.7 
2514787, H, 2005-05-18, 5, 53.5, 8.7, 0, 0.0033, 10, 3.9, 10055, 25.2, 47.84, 9, 43.6, 37, 46.3, 65, 46.3, 100, 44.9, 128, 35.9, 163, 37.2, 189, 27.2, 218, 27.2, 247, 18.2, 276, 15.9 
2514527, H, 2005-05-26, 3, 59.7, 13.5, 0, 0.0015, 10, 5, 14120, 43.2, 54.73, 29, 56.3, 57, 48.6, 92, 51.3, 120, 48.1, 155, 49.9, 181, 39.5, 210, 50.8, 239, 40.9, 268, 46.8, 302, 30 
2514339, H, 2005-05-18, 4, 52.7, 12.1, 0, 0.0026, 10, 3, 10758, 33.8, 46.78, 9, 39, 37, 50.4, 65, 40.4, 100, 37.2, 128, 41.8, 163, 35.4, 189, 27.7, 218, 33.1, 247, 28.1, 276, 25.9 
2514744, H, 2005-05-31, 2, 54.7, 24.7, -0.8, 0.0027, 10, 3.7, 10754, 50.8, 44.74, 24, 40.4, 52, 39, 87, 47.7, 115, 42.2, 150, 40, 176, 38.6, 205, 30.4, 234, 25, 263, 27.7, 297, 20.4 
2514735, H, 2005-04-28, 2, 41.8, 19.1, -0.8, 0.0035, 9, 11.9, 7443, 38.9, 34.15, 29, 45.4, 57, 30.9, 85, 26.3, 120, 33.6, 148, 24.1, 183, 21.8, 209, 24.1, 238, 49.9, 267, 9.1 
2514759, H, 2005-05-31, 2, 40.5, 20.9, -0.8, 0.0025, 10, 3.8, 8205, 47.2, 34.16, 24, 37.2, 52, 32.7, 87, 33.6, 115, 21.3, 150, 25.4, 176, 27.2, 205, 26.3, 234, 26.8, 263, 21.8, 297, 17.3 
2514426, H, 2005-04-25, 4, 60.7, 25.1, 0, 0.0043, 8, 3.7, 9656, 41.3, 45.99, 32, 42.7, 60, 48.6, 88, 44.9, 123, 38.6, 151, 24.5, 186, 29.1, 212, 24.5, 241, 18.6 
2514732, H, 2005-06-01, 2, 50, 20.3, -0.8, 0.0045, 10, 7.5, 7883, 35.7, 39.14, 23, 48.6, 51, 47.7, 86, 33.1, 114, 30.4, 149, 22.7, 175, 20.4, 204, 15.9, 233, 12.7, 262, 3.2, 296, 0.9 
2514358, H, 2005-04-07, 7, 57.3, 10.7, 0, 0.0023, 10, 5.1, 12155, 32.2, 51.81, 22, 53.6, 50, 52.7, 78, 44.5, 106, 31.3, 141, 44.9, 169, 41.3, 204, 35.9, 230, 30.9, 259, 35.9, 288, 32.7 
2514365, H, 2005-06-02, 6, 53.5, 42.3, 0, 0.0025, 10, 7.1, 10420, 70.6, 40.69, 22, 25, 50, 36.3, 85, 39.5, 113, 41.3, 148, 52.7, 174, 36.3, 203, 29.5, 232, 25.9, 261, 20.9, 295, 20 
2514719, H, 2005-04-02, 2, 50.2, 19.1, -0.8, 0.0026, 10, 3.9, 10052, 44, 42.52, 27, 47.7, 55, 46.8, 83, 33.1, 111, 36.3, 146, 35.9, 174, 35.9, 209, 32.7, 235, 25.4, 264, 25.9, 293, 24.5 
2514847, H, 2005-06-06, 5, 62.5, 20.4, 0, 0.002, 10, 5.1, 13672, 52.1, 54.22, 18, 51.8, 46, 47.7, 81, 56.3, 109, 47.7, 144, 44, 170, 44.9, 199, 48.1, 228, 41.3, 257, 44.5, 291, 25.9 
2514212, H, 2005-03-26, 3, 49.7, 9.3, 0, 0.0009, 10, 7.4, 13079, 38.5, 47.74, 34, 52.7, 62, 50.4, 90, 28.1, 118, 33.6, 153, 41.3, 181, 42.7, 216, 45.9, 242, 42.7, 271, 44.9, 300, 39.5 
2514183, H, 2005-06-08, 2, 52.5, 22.1, -0.8, 0.0017, 10, 2.7, 11877, 57, 45.83, 16, 43.1, 44, 40.9, 79, 43.6, 107, 44, 142, 43.1, 168, 38.1, 197, 38.1, 226, 36.3, 255, 36.3, 289, 27.7 
2514198, H, 2005-03-26, 3, 85.5, 36.3, 0, 0.0046, 10, 4.3, 12635, 45.3, 59.39, 34, 56.7, 62, 59, 90, 56.3, 118, 43.6, 153, 45.4, 181, 40.4, 216, 35.9, 242, 29.5, 271, 23.2, 300, 11.3 
2514318, H, 2005-06-12, 2, 50.2, 19.1, -0.8, 0.0022, 10, 5.9, 10702, 47.4, 43.41, 12, 48.6, 40, 44, 75, 33.1, 103, 40.4, 138, 45.9, 164, 34, 193, 38.6, 222, 30.4, 251, 30.9, 285, 24.1 
2514570, H, 2005-03-18, 3, 53.5, 8.7, 0, 0.0019, 10, 2.8, 12107, 29.8, 49.68, 7, 44.5, 42, 47.2, 70, 45.4, 98, 39.5, 126, 40.4, 161, 38.6, 189, 41.3, 224, 34, 250, 36.3, 279, 33.6 
2514443, H, 2005-06-14, 3, 53.5, 42.3, 0, 0.0019, 10, 4.8, 11290, 80.5, 42.43, 10, 30, 38, 34, 73, 40.4, 101, 34.5, 136, 42.7, 162, 42.2, 191, 46.8, 220, 31.8, 249, 36.3, 283, 29.1 
2514172, H, 2005-03-05, 8, 57, 19.8, 0, 0.0046, 9, 6, 8837, 35.5, 44.42, 20, 40.9, 55, 49.5, 83, 35.4, 111, 36.3, 139, 27.7, 174, 34, 202, 25.4, 237, 9.5, 263, 7.7 
2514418, H, 2005-06-15, 3, 53.9, 38.2, 0, 0.0043, 10, 8.9, 8246, 48.2, 37.59, 9, 33.1, 37, 25.9, 72, 33.6, 100, 46.8, 135, 48.6, 161, 24.1, 190, 17.7, 219, 14.5, 248, 12.7, 282, 13.2 
2514332, H, 2005-02-28, 7, 53.5, 10.5, 0, 0.0046, 10, 11.4, 8451, 24.9, 45.43, 25, 49.9, 60, 44.9, 88, 36.8, 116, 63.6, 144, 21.8, 179, 33.1, 207, 12.7, 242, 17.3, 268, 13.2, 297, 8.2 
2514250, H, 2005-06-16, 6, 62.5, 42.3, 0, 0.0021, 10, 6.4, 12921, 77.5, 49.06, 8, 39, 36, 35.9, 71, 56.3, 99, 53.1, 134, 41.3, 160, 43.1, 189, 31.3, 218, 43.1, 247, 46.3, 281, 35.4 
2514695, H, 2005-02-21, 2, 60.7, 24.4, -0.8, 0.0026, 10, 3.2, 12078, 51.2, 49.94, 32, 44.5, 67, 50.4, 95, 51.3, 123, 44.9, 151, 37.7, 186, 41.3, 214, 33.6, 249, 35.4, 275, 25, 304, 26.8 
2514321, H, 2005-06-18, 2, 41.8, 23.5, -0.8, 0.0019, 10, 3, 9186, 56.9, 35.88, 6, 28.1, 34, 31.8, 69, 35.9, 97, 30.9, 132, 33.6, 158, 33.6, 187, 34, 216, 24.5, 245, 28.6, 279, 20.4 
