,Herd A,Herd B,Herd C,Herd D,Herd E,Herd F,Herd G,Herd H,Herd I,Herd J,Herd K,Herd L,Herd M,Herd N,Herd O,Herd P,Herd Q,Herd R,Herd S,Herd T,Herd U
Scale,4.94,5.49,6.18,7.5200000000000005,6.21,7.94,5.7700000000000005,5.44,5.95,5.65,5.51,4.7700000000000005,5.33,6.140000000000001,6.44,5.73,5.04,4.7,7.3500000000000005,6.98,4.25
Ramp,0.49,1.56,1.53,3.13,3.61,2.71,2.73,3.34,2.75,3.52,1.37,3.0300000000000002,2.92,3.67,2.49,2.59,2.14,3.59,2.37,3.68,2.95
Offset,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
Decay,0.0006569999999999999,0.00056,0.000757,0.0007599999999999999,0.000596,0.000619,0.000578,0.000736,0.0006979999999999999,0.00046699999999999997,0.000578,0.000598,0.000412,0.000645,0.00067,0.00061,0.00048699999999999997,0.000512,0.0005949999999999999,0.000815,0.00035999999999999997
RMSE,1.1300000000000001,1.24,0.87,1.8800000000000001,1.69,1.61,1.62,1.48,1.69,1.3900000000000001,1.6400000000000001,1.6,1.25,1.6400000000000001,1.16,1.61,1.49,1.1300000000000001,1.48,3.09,1.03
M305,997,1261,1089,1636,1556,1782,1171,1430,1611,1507,1503,1302,1449,1361,1799,1612,1399,1109,1662,2242,1185
PeakDay,19.72,34.730000000000004,22.07,34.85,25.62,19.5,30.23,34.35,35.4,49.06,23.54,18.41,31.54,40.7,30.78,38.78,50.370000000000005,33.67,23.080000000000002,40.99,34.54
PeakMilk,3.8200000000000003,6.16,4.96,7.2,6.01,7.140000000000001,5.8,6.94,6.12,7.57,4.98,4.18,6.25,5.9,6.44,7.08,8.25,3.89,6.69,9.03,5.36
