lactkey,Breed,CalveDate,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
515940, H, 2006-10-22, 1, 49.8, 31.4, -0.5, 0.0008, 10, 3.7, 12755, 95.4, 45.21, 24, 38.1, 53, 45.9, 80, 39, 115, 43.6, 144, 48.1, 172, 40.9, 199, 49.9, 234, 43.6, 262, 39.5, 297, 35.9 
515974, H, 2006-12-15, 1, 41.8, 33.9, -0.5, 0.0011, 10, 4.5, 10068, 87.9, 36.4, 26, 25, 61, 38.1, 90, 36.3, 118, 33.6, 145, 41.8, 180, 41.8, 208, 30.9, 243, 34.5, 271, 27.2, 300, 24.5 
515954, H, 2006-10-19, 1, 40.8, 31.7, -0.5, 0.0002, 9, 2.5, 11356, 134, 39.31, 27, 33.6, 56, 37.7, 83, 34, 118, 36.3, 147, 40.9, 175, 39.5, 202, 43.1, 237, 39, 265, 36.8 
515972, H, 2006-12-15, 1, 42.8, 30.8, -0.5, 0.0024, 10, 5.4, 8620, 60.4, 34.46, 26, 29.5, 61, 37.2, 90, 33.6, 118, 30.4, 145, 26.3, 180, 35.4, 208, 30.4, 243, 30, 271, 10.9, 300, 16.3 
515916, H, 2006-10-19, 1, 49.2, 29.5, -0.5, 0.0007, 10, 2.3, 12835, 95.2, 45.28, 27, 39, 56, 47.2, 83, 43.1, 118, 41.8, 147, 42.7, 175, 44.9, 202, 47.7, 237, 41.3, 265, 40.9, 300, 39.5 
515998, H, 2006-12-15, 1, 53, 28, -0.5, 0.0023, 10, 3.7, 10920, 58.7, 43.53, 26, 44, 61, 41.8, 90, 42.7, 118, 34.5, 145, 36.8, 180, 41.8, 208, 32.7, 243, 34, 271, 23.6, 300, 26.3 
514770, H, 2006-10-18, 1, 44, 36.2, -0.5, 0.0012, 10, 5.2, 10424, 88.9, 37.81, 28, 29.1, 57, 32.2, 84, 35, 119, 43.6, 148, 40.9, 176, 34.5, 203, 40, 238, 36.8, 266, 29.5, 301, 19.5 
515975, H, 2006-12-23, 1, 41.7, 32.3, -0.5, 0.0018, 10, 2.6, 9082, 70.2, 34.58, 18, 27.2, 53, 31.3, 82, 38.1, 110, 31.8, 137, 37.2, 172, 31.8, 200, 30, 235, 26.3, 263, 22.7, 292, 22.7 
515952, H, 2006-10-18, 1, 42.4, 31.1, -0.5, 0.0006, 10, 3.1, 11066, 100, 38.96, 28, 31.3, 57, 41.3, 84, 38.1, 119, 34.5, 148, 39, 176, 37.2, 203, 39, 238, 36.8, 266, 41.3, 301, 30 
516004, H, 2006-12-24, 1, 40.8, 32.4, -0.5, 0.0022, 10, 5.7, 8436, 64.8, 33.03, 17, 32.7, 52, 20.9, 81, 39, 109, 30.9, 136, 30.9, 171, 27.7, 199, 33.1, 234, 28.1, 262, 17.7, 291, 15.9 
515947, H, 2006-10-14, 1, 44, 24.8, -0.5, 0.0011, 10, 7.6, 10826, 71.9, 39.53, 32, 53.6, 61, 40.4, 88, 36.8, 123, 35.9, 152, 29.5, 180, 40.4, 207, 45.9, 242, 30, 270, 31.8, 305, 23.2 
515990, H, 2006-12-24, 1, 41.6, 32.9, -0.5, 0.0017, 10, 5, 9301, 74.1, 34.91, 17, 21.8, 52, 34.5, 81, 41.8, 109, 28.6, 136, 40.9, 171, 34.5, 199, 31.3, 234, 21.8, 262, 23.6, 291, 26.8 
515936, H, 2006-10-12, 1, 42.1, 31.4, -0.5, 0.0008, 8, 2.5, 10677, 92.8, 37.99, 34, 35, 63, 37.7, 90, 34.5, 125, 35.9, 154, 40.4, 182, 40, 209, 32.7, 244, 34.5 
515989, H, 2006-12-24, 1, 47, 33.4, -0.5, 0.0025, 10, 6.1, 9314, 62.2, 37.17, 17, 30.4, 52, 33.6, 81, 30, 109, 43.1, 136, 41.8, 171, 35.9, 199, 32.2, 234, 24.5, 262, 14.1, 291, 18.2 
515941, H, 2006-10-12, 1, 34.3, 28.8, -0.5, 0.0023, 8, 5.8, 7080, 59.9, 28.11, 34, 27.2, 63, 35.4, 90, 20, 125, 27.7, 154, 17.3, 182, 23.6, 209, 30.4, 244, 14.5 
515751, H, 2006-12-25, 1, 53.6, 32.8, -0.5, 0.0019, 10, 4.7, 11554, 69.8, 44.16, 16, 38.1, 51, 35.9, 80, 50.8, 108, 37.2, 135, 47.2, 170, 41.8, 198, 37.2, 233, 34, 261, 26.8, 290, 31.8 
515938, H, 2006-10-10, 1, 38.3, 36.6, -0.5, 0.0003, 9, 4.4, 10366, 134.8, 36.09, 36, 20.9, 65, 32.7, 92, 32.7, 127, 33.6, 156, 39, 184, 40.9, 211, 39, 246, 33.6, 274, 32.2 
516005, H, 2006-12-26, 1, 38.3, 24.8, -0.5, 0.0014, 10, 6, 9035, 66.5, 33.72, 15, 39, 50, 31.8, 79, 33.1, 107, 27.2, 134, 39, 169, 35.9, 197, 33.6, 232, 25.9, 260, 18.2, 289, 28.1 
515898, H, 2006-10-09, 1, 42.2, 36.4, -0.5, 0.0008, 9, 10.2, 10625, 103.6, 37.66, 37, 6.4, 66, 32.7, 93, 30.4, 128, 36.3, 157, 40.4, 185, 39.5, 212, 44, 247, 30, 275, 30.9 
516001, H, 2007-01-01, 1, 41.6, 26.1, -0.5, 0.0022, 9, 4.8, 8748, 57.8, 34.71, 44, 35, 73, 40.4, 101, 28.1, 128, 38.1, 163, 35.4, 191, 25, 226, 20.4, 254, 18.6, 283, 24.5 
515893, H, 2006-10-07, 1, 49.2, 31, -0.5, 0.001, 9, 3.8, 12141, 86.3, 43.68, 39, 40.4, 68, 46.8, 95, 38.1, 130, 40.9, 159, 42.7, 187, 42.2, 214, 45.4, 249, 40.9, 277, 30.9 
515991, H, 2007-01-01, 1, 38.8, 31.8, -0.5, 0.001, 10, 3.6, 9552, 87.5, 34.36, 9, 25.4, 44, 30.9, 73, 34.5, 101, 30.4, 128, 34, 163, 38.6, 191, 37.2, 226, 27.7, 254, 24.1, 283, 30.9 
515917, H, 2006-10-05, 1, 38.3, 33.9, -0.5, 0.0003, 10, 3.3, 10563, 137.1, 36.64, 6, 18.6, 41, 28.6, 70, 35, 97, 38.1, 132, 37.2, 161, 42.2, 189, 38.6, 216, 36.3, 251, 37.2, 279, 29.5 
515987, H, 2007-01-02, 1, 38.6, 32.8, -0.5, 0.0012, 10, 4.9, 9174, 83.1, 33.45, 8, 19.5, 43, 33.1, 72, 29.5, 100, 30, 127, 37.2, 162, 41.8, 190, 34, 225, 27.7, 253, 20.9, 282, 25.4 
515942, H, 2006-10-02, 1, 39.9, 31.7, -0.5, 0.0009, 10, 3.7, 9980, 90.3, 35.7, 9, 27.7, 44, 31.8, 73, 33.1, 100, 34, 135, 34.5, 164, 39, 192, 31.8, 219, 40, 254, 30.4, 282, 24.5 
515884, H, 2007-01-03, 1, 35.2, 33.1, -0.5, 0.0014, 10, 4.3, 8187, 80.3, 30.11, 7, 21.8, 42, 23.2, 71, 32.7, 99, 25.4, 126, 33.1, 161, 34.5, 189, 30.9, 224, 28.1, 252, 18.2, 281, 20.9 
515951, H, 2006-10-02, 1, 38.3, 36.7, -0.5, 0.0011, 10, 4.9, 9203, 92.7, 33.16, 9, 27.2, 44, 30, 73, 22.7, 100, 26.3, 135, 29.1, 164, 35.9, 192, 32.7, 219, 34.5, 254, 31.8, 282, 24.5 
516014, H, 2007-01-04, 1, 42.4, 34.3, -0.5, 0.001, 10, 3.5, 10486, 94.2, 37.5, 6, 23.2, 41, 27.7, 70, 41.8, 98, 36.8, 125, 40, 160, 40, 188, 34, 223, 32.2, 251, 29.5, 280, 35 
