lactkey,Breed,CalveDate,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
2149497, H, 2007-08-26, 1, 44, 33.6, -0.5, 0.0005, 9, 3.5, 11649, 112.4, 40.77, 31, 32.7, 66, 36.8, 94, 40.9, 115, 41.8, 157, 45.9, 186, 44.9, 214, 34.5, 248, 40.4, 276, 34 
2149378, H, 2007-09-01, 1, 44, 36.6, -0.5, 0.0004, 9, 4.5, 11843, 130.7, 41.27, 25, 23.6, 60, 33.1, 88, 37.2, 109, 39.5, 151, 36.3, 180, 42.7, 208, 40.9, 242, 42.7, 270, 43.6 
2149259, H, 2007-08-26, 1, 46.1, 35.9, -0.5, 0.0003, 9, 2.9, 12515, 133.8, 43.55, 31, 32.2, 66, 38.1, 94, 43.6, 115, 44, 157, 42.2, 186, 45.9, 214, 44.5, 248, 45.9, 276, 36.8 
2149518, H, 2007-09-01, 1, 44, 36.6, -0.5, 0.0007, 9, 3.5, 11340, 111.1, 39.91, 25, 25, 60, 32.7, 88, 35.9, 109, 39, 151, 40.9, 180, 40.9, 208, 38.6, 242, 39, 270, 38.1 
2149545, H, 2007-08-25, 1, 44, 36.6, -0.5, 0.0002, 9, 2.8, 12231, 158.2, 42.5, 32, 30, 67, 35.9, 95, 37.7, 116, 42.2, 158, 44.9, 187, 44, 215, 44.5, 249, 42.7, 277, 40.4 
2149559, H, 2007-09-01, 1, 26.3, 34.9, -0.5, -0.0004, 9, 3.3, 8102, 0, 13.34, 25, 14.1, 60, 18.6, 88, 24.1, 109, 28.1, 151, 29.5, 180, 31.3, 208, 30.4, 242, 30.9, 270, 29.5 
2149540, H, 2007-08-25, 1, 44, 36.6, -0.5, 0.0004, 9, 4, 11828, 130, 41.23, 32, 27.7, 67, 33.6, 95, 35, 116, 40, 158, 44, 187, 43.1, 215, 41.3, 249, 42.7, 277, 37.2 
2149561, H, 2007-09-01, 1, 38.3, 36.7, -0.5, 0.0011, 9, 3.5, 9203, 92.7, 33.16, 25, 24.5, 60, 26.8, 88, 29.1, 109, 28.1, 151, 32.7, 180, 30.9, 208, 30, 242, 33.6, 270, 30.9 
2149531, H, 2007-08-25, 1, 44, 36.6, -0.5, 0.0001, 9, 3.1, 12323, 169.3, 42.83, 32, 29.5, 67, 34.5, 95, 37.7, 116, 41.3, 158, 44, 187, 43.6, 215, 43.6, 249, 44.9, 277, 42.2 
2149591, H, 2007-09-01, 1, 38.3, 36.7, -0.5, 0.0007, 9, 4.8, 9756, 107.6, 34.45, 25, 19.5, 60, 26.3, 88, 30.9, 109, 31.8, 151, 36.8, 180, 40, 208, 32.2, 242, 28.1, 270, 31.3 
2149524, X, 2007-08-25, 1, 39.6, 35.4, -0.5, 0.0006, 9, 6.5, 10365, 113.4, 36.35, 32, 14.5, 67, 27.2, 95, 32.7, 116, 35.9, 158, 36.8, 187, 37.7, 215, 39.5, 249, 35, 277, 32.2 
2149603, H, 2007-09-01, 1, 38.3, 36.3, -0.5, 0.0005, 9, 3, 10123, 120.5, 35.4, 25, 22.7, 60, 32.7, 88, 35, 109, 34, 151, 29.5, 180, 38.1, 208, 35, 242, 34, 270, 34 
2149417, H, 2007-08-25, 1, 34.6, 31.1, -0.5, 0.0013, 9, 3.1, 8184, 78.9, 30.03, 32, 26.3, 67, 30.9, 95, 31.3, 116, 25.9, 158, 30, 187, 31.3, 215, 26.8, 249, 18.6, 277, 26.3 
2143866, H, 2007-09-02, 1, 38.3, 36.7, -0.5, 0.0007, 9, 4.5, 9756, 107.6, 34.45, 24, 20.4, 59, 25.4, 87, 29.5, 108, 30.9, 150, 34, 179, 32.2, 207, 35.4, 241, 36.8, 269, 32.7 
2149402, H, 2007-08-25, 1, 40.6, 31, -0.5, -0, 9, 2.4, 11757, 0, 20.64, 32, 34, 67, 41.3, 95, 35.4, 116, 37.2, 158, 42.2, 187, 38.6, 215, 43.1, 249, 42.7, 277, 40.9 
2144186, H, 2007-09-02, 1, 41.3, 30.4, -0.5, 0.0011, 8, 3.6, 10068, 82.6, 36.48, 59, 35.4, 87, 36.8, 108, 40.9, 150, 27.2, 179, 35.4, 207, 36.8, 241, 32.2, 269, 28.6 
2149304, H, 2007-08-25, 1, 42, 36.2, -0.5, 0.0007, 9, 2.3, 10746, 107.4, 37.92, 32, 29.5, 67, 36.8, 95, 36.8, 116, 39, 158, 39.5, 187, 39, 215, 38.1, 249, 35.4, 277, 30 
