lactkey,Breed,CalveDate,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
4014999, H, 2007-08-06, 1, 41.1, 28.8, -0.5, 0.0004, 10, 2.5, 11161, 107.5, 38.83, 6, 28.6, 33, 36.3, 62, 36.8, 91, 36.3, 125, 35, 153, 36.8, 188, 36.3, 216, 39.5, 244, 40.4, 274, 37.2 
4015008, H, 2007-08-06, 1, 38.3, 36.7, -0.5, 0.0011, 9, 5.4, 9203, 92.7, 33.16, 33, 34, 62, 20.4, 91, 28.1, 125, 27.2, 153, 32.2, 188, 33.6, 216, 31.3, 244, 31.3, 274, 33.1 
4015048, H, 2007-08-06, 1, 44, 36.7, -0.5, 0.0008, 10, 3.2, 11040, 102.9, 39.18, 6, 23.6, 33, 32.7, 62, 30.9, 91, 35, 125, 36.3, 153, 37.2, 188, 39.5, 216, 35.4, 244, 38.6, 274, 37.7 
4014965, H, 2007-08-07, 1, 44.6, 28.9, -0.5, 0, 10, 1.9, 12907, 305, 44.55, 5, 25.9, 32, 39.5, 61, 42.2, 90, 44.5, 124, 41.3, 152, 43.1, 187, 42.7, 215, 43.1, 243, 47.2, 273, 47.2 
4015021, H, 2007-08-05, 1, 38.3, 36.7, -0.5, 0.0011, 10, 5.2, 9203, 92.7, 33.16, 7, 18.2, 34, 30.4, 63, 20.9, 92, 27.7, 126, 30, 154, 27.2, 189, 33.6, 217, 33.1, 245, 33.6, 275, 32.7 
4014966, H, 2007-08-08, 1, 35.9, 32.3, -0.5, -0.0001, 9, 2.8, 10566, 0, 18.22, 31, 28.1, 60, 33.6, 89, 37.7, 123, 30.9, 151, 32.2, 186, 35.9, 214, 37.2, 242, 38.6, 272, 41.3 
4015027, H, 2007-08-05, 1, 42.4, 34, -0.5, 0.0003, 10, 1.7, 11690, 136.4, 40.56, 7, 23.6, 34, 31.8, 63, 39.5, 92, 40, 126, 40.4, 154, 36.8, 189, 40.9, 217, 41.8, 245, 39.5, 275, 40.9 
4015030, H, 2007-08-09, 1, 42.3, 28.5, -0.5, 0.0015, 9, 3.1, 9772, 70.7, 36.53, 30, 33.1, 59, 36.8, 88, 38.6, 122, 37.7, 150, 32.7, 185, 30.4, 213, 25, 241, 27.2, 271, 33.6 
4015013, H, 2007-08-04, 1, 44, 36.6, -0.5, 0.0004, 10, 3.5, 11824, 129.8, 41.22, 8, 25.9, 35, 31.8, 64, 34, 93, 34.5, 127, 37.7, 155, 37.7, 190, 40.4, 218, 40.4, 246, 42.2, 276, 43.1 
4015035, H, 2007-08-10, 1, 25.1, 31.6, -0.5, 0.0006, 10, 3.6, 6563, 102.3, 23.08, 29, 22.2, 58, 20.9, 87, 14.5, 121, 25, 149, 25, 184, 26.3, 212, 24.5, 240, 23.2, 270, 20.9, 305, 16.3 
4015011, H, 2007-08-04, 1, 42.9, 31.8, -0.5, 0.0003, 10, 1.5, 11850, 128.4, 41.07, 8, 26.8, 35, 34.5, 64, 39.5, 93, 42.7, 127, 38.6, 155, 39, 190, 42.7, 218, 40.9, 246, 41.8, 276, 39.5 
4015031, H, 2007-08-11, 1, 23.9, 30.6, -0.5, -0.0003, 10, 4.7, 7266, 0, 12.13, 28, 27.7, 57, 12.7, 86, 20.9, 120, 26.8, 148, 28.6, 183, 20.4, 211, 25, 239, 28.1, 269, 28.1, 304, 26.3 
4014946, H, 2007-08-03, 1, 42, 29.9, -0.5, 0.0002, 10, 3.7, 11745, 129.3, 40.59, 9, 29.1, 36, 38.6, 65, 31.8, 94, 46.3, 128, 38.6, 156, 37.2, 191, 40.4, 219, 37.7, 247, 41.3, 277, 43.1 
4014961, H, 2007-08-12, 1, 50, 30.7, -0.5, 0.001, 10, 2.3, 12450, 87.4, 44.66, 27, 39.5, 56, 42.7, 85, 45.4, 119, 43.6, 147, 40, 182, 44.5, 210, 44, 238, 40.9, 268, 40.4, 303, 33.1 
4014962, H, 2007-08-03, 1, 41.7, 29.5, -0.5, 0, 10, 2.3, 12047, 207.3, 41.56, 9, 30, 36, 36.3, 65, 39, 94, 38.1, 128, 40, 156, 38.1, 191, 42.2, 219, 40, 247, 45.4, 277, 42.7 
4014974, H, 2007-08-12, 1, 44, 29.9, -0.5, 0.0008, 10, 2.2, 11282, 91.8, 40.04, 27, 36.3, 56, 39, 85, 39.5, 119, 35.4, 147, 38.1, 182, 39.5, 210, 40.9, 238, 38.1, 268, 36.3, 303, 32.2 
4014969, H, 2007-08-02, 1, 27.2, 35, -0.5, -0.0004, 10, 4.2, 8372, 0, 13.79, 10, 5, 37, 20.4, 66, 24.5, 95, 30, 129, 28.6, 157, 30.9, 192, 30.9, 220, 30.9, 248, 31.3, 278, 29.1 
4015049, H, 2007-08-12, 1, 44, 36.6, -0.5, 0.0001, 10, 3.6, 12420, 186.2, 43.21, 27, 32.2, 56, 37.2, 85, 31.8, 119, 41.8, 147, 40, 182, 43.6, 210, 45.4, 238, 45.4, 268, 42.7, 303, 44.9 
4015024, H, 2007-07-31, 1, 44, 36.6, -0.5, 0.0007, 10, 2.5, 11296, 109.8, 39.8, 12, 29.5, 39, 30.9, 68, 35, 97, 38.1, 131, 40, 159, 37.7, 194, 42.2, 222, 39, 250, 37.7, 280, 37.7 
4015034, H, 2007-08-23, 1, 44, 28.6, -0.5, 0.0012, 10, 1.4, 10649, 77.6, 38.86, 16, 34, 45, 36.8, 74, 40, 108, 36.3, 136, 37.2, 171, 34.5, 199, 34, 227, 33.6, 257, 34, 292, 32.2 
4015025, H, 2007-07-29, 1, 39, 27.9, -0.5, 0.0006, 10, 2.4, 10360, 96.1, 36.35, 14, 31.8, 41, 33.6, 70, 35, 99, 33.1, 133, 35.4, 161, 37.2, 196, 30.9, 224, 35.9, 252, 35.4, 282, 33.1 
4015038, H, 2007-08-23, 1, 32.5, 24.8, -0.5, 0.0011, 10, 7.3, 8005, 71.9, 29.23, 16, 34, 45, 36.3, 74, 16.8, 108, 16.3, 136, 22.7, 171, 26.3, 199, 25, 227, 28.6, 257, 27.2, 292, 27.7 
4015017, H, 2007-07-29, 1, 38.3, 24.8, -0.5, 0.0011, 10, 3.5, 9416, 71.9, 34.38, 14, 34.5, 41, 35.4, 70, 38.6, 99, 34, 133, 30, 161, 29.1, 196, 32.7, 224, 28.6, 252, 32.7, 282, 30.4 
4015042, H, 2007-08-26, 1, 38.3, 26.4, -0.5, 0.001, 10, 3, 9588, 78.5, 34.57, 13, 34, 42, 31.8, 71, 33.1, 105, 31.8, 133, 32.2, 168, 35.4, 196, 29.1, 224, 29.5, 254, 32.2, 289, 29.1 
4015023, H, 2007-07-28, 1, 43.4, 28.5, -0.5, 0.0003, 10, 8.3, 11950, 113, 41.42, 15, 34, 42, 13.2, 71, 40.9, 100, 40, 134, 38.1, 162, 41.3, 197, 42.2, 225, 35.4, 253, 41.8, 283, 43.6 
4015043, H, 2007-09-01, 1, 33.3, 32, -0.5, 0.0007, 9, 2.5, 8629, 100.2, 30.44, 36, 26.3, 65, 30, 99, 29.1, 127, 26.3, 162, 33.1, 190, 33.1, 218, 30.4, 248, 25.9, 283, 25.9 
4015045, H, 2007-07-28, 1, 38.3, 33.3, -0.5, 0.0002, 10, 1.9, 10623, 139.5, 36.81, 15, 25.4, 42, 29.5, 71, 34.5, 100, 37.7, 134, 40, 162, 37.2, 197, 34.5, 225, 39, 253, 34.5, 283, 35.4 
4014967, H, 2007-09-02, 1, 41.6, 29.3, -0.5, 0.0002, 10, 3.9, 11627, 125.7, 40.17, 6, 34, 35, 35.4, 64, 37.2, 98, 36.8, 126, 35, 161, 40.4, 189, 38.1, 217, 41.8, 247, 39, 282, 43.6 
4014973, H, 2007-07-26, 1, 42.3, 29.4, -0.5, 0.0008, 10, 1.9, 10815, 90.3, 38.43, 17, 33.1, 44, 35.9, 73, 39.5, 102, 35, 136, 35, 164, 38.1, 199, 36.8, 227, 36.3, 255, 35.9, 285, 33.6 
4014994, H, 2007-09-03, 1, 50.9, 28.1, -0.5, 0.0011, 10, 3, 12405, 77.6, 45.17, 5, 34, 34, 45.4, 63, 41.8, 97, 41.3, 125, 39.5, 160, 45.4, 188, 41.3, 216, 41.8, 246, 40.4, 281, 35.4 
4014964, H, 2007-07-25, 1, 30.9, 31.8, -0.5, 0.0002, 10, 2, 8618, 137.7, 29.82, 18, 22.2, 45, 25, 74, 29.1, 103, 33.1, 137, 26.3, 165, 28.1, 200, 31.3, 228, 31.3, 256, 30.4, 286, 28.1 
4015033, H, 2007-09-09, 1, 39, 27, -0.5, 0.0017, 9, 3.5, 8738, 64.8, 33.34, 28, 34.5, 57, 36.3, 91, 23.6, 119, 32.2, 154, 30, 182, 29.1, 210, 28.1, 240, 26.3, 275, 23.6 
4014955, H, 2007-07-23, 1, 44, 36.6, -0.5, 0.0005, 10, 2.8, 11605, 120.3, 40.61, 20, 30, 47, 31.3, 76, 36.3, 105, 38.1, 139, 37.2, 167, 39, 202, 40.4, 230, 40, 258, 41.8, 288, 38.6 
4015041, H, 2007-09-11, 1, 42.3, 30.2, -0.5, 0.0007, 9, 2.2, 10914, 94.3, 38.62, 26, 35, 55, 37.2, 89, 36.8, 117, 34.5, 152, 37.2, 180, 39.5, 208, 39, 238, 36.8, 273, 32.2 
4015014, H, 2007-07-23, 1, 44, 36.7, -0.5, 0.0008, 10, 2.5, 11040, 102.9, 39.18, 20, 30.4, 47, 32.2, 76, 36.8, 105, 37.2, 139, 35.9, 167, 36.3, 202, 37.7, 230, 38.6, 258, 37.7, 288, 38.6 
4015051, H, 2007-09-13, 1, 50, 28.5, -0.5, 0.0005, 9, 3.9, 13355, 99.8, 46.73, 24, 44, 53, 42.7, 87, 44.5, 115, 41.8, 150, 45.9, 178, 46.8, 206, 49.9, 236, 48.6, 271, 37.7 
4015005, H, 2007-07-23, 1, 42.5, 28, -0.5, 0.0009, 10, 3, 10792, 85.2, 38.54, 20, 35.9, 47, 37.2, 76, 36.8, 105, 35.4, 139, 35.4, 167, 32.7, 202, 38.1, 230, 40.4, 258, 34.5, 288, 31.3 
4014993, H, 2007-09-14, 1, 45.5, 28.4, -0.5, 0.0007, 9, 1.6, 11823, 91.4, 41.8, 23, 36.8, 52, 42.2, 86, 39.5, 114, 40.9, 149, 39, 177, 39, 205, 38.6, 235, 40.9, 270, 38.6 
4014947, H, 2007-07-21, 1, 43.1, 31.4, -0.5, 0.0008, 10, 1.4, 11014, 95.2, 39.05, 22, 32.7, 49, 36.3, 78, 38.1, 107, 37.7, 141, 38.6, 169, 37.7, 204, 38.6, 232, 38.1, 260, 35.4, 290, 31.8 
4015054, H, 2007-09-16, 1, 44, 36.7, -0.5, 0.0008, 9, 3, 11040, 102.9, 39.18, 21, 27.2, 50, 33.6, 84, 34.5, 112, 38.1, 147, 41.8, 175, 40, 203, 40, 233, 38.1, 268, 32.7 
4014975, H, 2007-07-20, 1, 41.7, 30.9, -0.5, 0.0008, 10, 1.8, 10652, 93.5, 37.81, 23, 34, 50, 34.5, 79, 35.4, 108, 36.8, 142, 36.3, 170, 38.1, 205, 38.1, 233, 35.9, 261, 33.6, 291, 31.3 
4015053, H, 2007-09-20, 1, 38.8, 31, -0.5, 0.0004, 9, 2.6, 10505, 113.7, 36.57, 17, 30.9, 46, 31.8, 80, 32.2, 108, 35.9, 143, 38.1, 171, 38.1, 199, 39, 229, 35, 264, 31.3 
4015019, H, 2007-07-18, 1, 40.4, 29.5, -0.5, 0.0003, 10, 2.6, 11141, 118, 38.6, 25, 35.9, 52, 34, 81, 36.8, 110, 36.8, 144, 40.9, 172, 33.6, 207, 36.8, 235, 39.5, 263, 40, 293, 36.8 
4015055, H, 2007-09-21, 1, 32.5, 24.8, -0.5, 0.0014, 9, 4.3, 7681, 66.5, 28.67, 16, 30, 45, 36.3, 79, 22.2, 107, 24.1, 142, 26.8, 170, 26.3, 198, 25, 228, 25, 263, 20 
4015015, H, 2007-07-16, 1, 34.5, 28.4, -0.5, 0.001, 10, 3.2, 8624, 82.7, 31.02, 27, 28.6, 54, 32.2, 83, 33.6, 112, 25.9, 146, 28.6, 174, 23.2, 209, 29.5, 237, 27.7, 265, 31.8, 295, 25.4 
4015047, H, 2007-09-26, 1, 38.3, 36.4, -0.5, -0.0003, 9, 4.6, 11407, 0, 19.4, 11, 21.3, 40, 23.2, 74, 31.3, 102, 33.1, 137, 37.2, 165, 39.5, 193, 40.9, 223, 47.2, 258, 40.9 
4015016, H, 2007-07-15, 1, 40.1, 32.3, -0.5, 0.0006, 10, 5, 10511, 105.1, 36.91, 28, 29.5, 55, 29.5, 84, 48.1, 113, 37.2, 147, 35, 175, 28.1, 210, 36.8, 238, 38.1, 266, 35.4, 296, 33.1 
4015062, H, 2007-09-26, 1, 36, 34.1, -0.5, 0.0009, 9, 2.6, 8985, 95.3, 32.06, 11, 21.8, 40, 29.5, 74, 29.1, 102, 27.7, 137, 34, 165, 30.4, 193, 32.7, 223, 31.8, 258, 25 
4015018, H, 2007-07-14, 1, 42, 29.1, -0.5, 0.001, 10, 2.4, 10453, 83.8, 37.6, 29, 35.9, 56, 36.8, 85, 35.9, 114, 38.6, 148, 36.8, 176, 29.5, 211, 36.3, 239, 32.7, 267, 32.2, 297, 34 
4015058, H, 2007-09-29, 1, 38, 30, -0.5, 0.0003, 9, 2.2, 10493, 121.3, 36.34, 8, 27.2, 37, 32.7, 71, 34.5, 99, 33.6, 134, 33.6, 162, 35.4, 190, 36.8, 220, 34.5, 255, 39 
