lactkey,Breed,CalveDate,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
2515099, H, 2006-09-01, 1, 39.1, 25.8, -0.5, 0.0011, 10, 4.8, 9609, 74.2, 35, 28, 36.3, 49, 34.5, 77, 32.2, 105, 33.1, 140, 32.7, 168, 35, 197, 31.8, 225, 31.8, 259, 18.6, 288, 37.2 
2515115, H, 2006-09-03, 1, 29.8, 25.4, -0.5, 0.0017, 10, 3.2, 6710, 62.5, 25.68, 26, 27.7, 47, 30, 75, 18.6, 103, 25, 138, 25.4, 166, 22.2, 195, 20.4, 223, 18.2, 257, 22.2, 286, 18.2 
2515080, H, 2006-08-29, 1, 36.6, 28.8, -0.5, 0.001, 10, 3.2, 9069, 81.9, 32.72, 31, 32.2, 52, 35.4, 80, 25.9, 108, 31.3, 143, 31.8, 171, 27.2, 200, 34, 228, 29.1, 262, 29.5, 291, 26.3 
2514580, H, 2006-09-16, 1, 25.2, 30.5, -0.5, 0.0016, 10, 1.5, 5755, 72.8, 21.53, 29, 19.1, 62, 23.6, 92, 20.9, 119, 17.7, 147, 21.3, 179, 20.9, 211, 16.8, 246, 16.8, 274, 16.3, 302, 16.3 
2515070, H, 2006-08-28, 1, 33.9, 36.4, -0.5, 0.0004, 10, 5.3, 9075, 126.9, 31.66, 32, 26.3, 53, 38.1, 81, 19.5, 109, 27.2, 144, 34, 172, 28.1, 201, 27.7, 229, 33.6, 263, 35, 292, 30.4 
2514421, H, 2006-10-01, 1, 38.3, 29.3, -0.5, 0.0019, 10, 1.7, 8366, 66, 32.11, 29, 30.9, 62, 33.6, 92, 31.3, 119, 26.3, 147, 30.4, 179, 28.1, 211, 24.5, 246, 24.1, 274, 22.2, 302, 23.6 
2515109, H, 2006-08-27, 1, 30.6, 29.8, -0.5, 0.0024, 10, 2.1, 6182, 59.4, 24.77, 33, 25.4, 54, 25.9, 82, 21.3, 110, 22.2, 145, 22.2, 173, 21.3, 202, 20, 230, 17.7, 264, 18.2, 293, 10.4 
2515088, H, 2006-10-10, 1, 33.8, 25.3, -0.5, 0.0019, 10, 4.4, 7373, 59.5, 28.72, 10, 29.5, 38, 27.2, 66, 29.5, 101, 25.9, 129, 17.3, 158, 27.2, 186, 28.1, 220, 25.9, 249, 21.3, 282, 16.3 
2515094, H, 2006-08-18, 1, 38.3, 26.5, -0.5, 0.0013, 11, 4.2, 9132, 71.4, 33.73, 7, 30.4, 42, 38.1, 63, 27.2, 91, 32.2, 119, 28.1, 154, 35.9, 182, 29.5, 211, 33.1, 239, 26.3, 273, 30, 302, 23.6 
2515111, H, 2006-10-16, 1, 45.6, 30.8, -0.5, 0.0008, 9, 4.7, 11578, 91.8, 41.21, 32, 37.7, 60, 40.4, 95, 40.9, 123, 34.5, 152, 40.4, 180, 40.9, 214, 48.6, 243, 37.7, 276, 29.5 
2515096, H, 2006-08-15, 1, 37.5, 32.2, -0.5, 0.0002, 11, 3.8, 10544, 148.9, 36.47, 10, 26.8, 45, 32.7, 66, 30, 94, 34.5, 122, 38.6, 157, 35.9, 185, 30.4, 214, 43.1, 242, 38.1, 276, 39, 305, 31.3 
2515137, H, 2006-10-16, 1, 44, 36.7, -0.5, 0.0008, 9, 3.7, 11085, 104, 39.28, 32, 30.4, 60, 29.5, 95, 38.6, 123, 37.2, 152, 40, 180, 41.3, 214, 33.1, 243, 38.1, 276, 33.1 
