lactkey,Breed,CalveDate,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
4494574, H, 2007-08-27, 1, 37.6, 30.2, -0.5, 0.0002, 9, 2.5, 10575, 137.7, 36.51, 25, 29.1, 57, 35.9, 86, 36.3, 115, 35.4, 150, 36.8, 177, 32.2, 207, 35, 243, 34.5, 269, 41.3 
4494552, H, 2007-08-30, 1, 25.7, 31.4, -0.5, -0.0001, 9, 1, 7529, 0, 13.08, 22, 19.5, 54, 23.2, 83, 23.6, 112, 25.4, 147, 27.2, 174, 25, 204, 27.2, 240, 25.4, 266, 27.7 
4494566, H, 2007-08-23, 1, 35, 36, -0.5, 0.0007, 9, 2.2, 9023, 110, 31.76, 29, 27.2, 61, 30.4, 90, 27.2, 119, 29.1, 154, 31.3, 181, 30.4, 211, 28.1, 247, 32.7, 273, 30.4 
4494554, H, 2007-09-04, 1, 29.5, 29.6, -0.5, 0.0008, 9, 2.5, 7591, 91.8, 26.92, 17, 25, 49, 25.9, 78, 25.9, 107, 21.8, 142, 25.9, 169, 27.7, 199, 25.9, 235, 23.2, 261, 27.2 
4494551, H, 2007-08-18, 1, 31.3, 30.1, -0.5, 0.0003, 9, 1.4, 8606, 118.6, 29.84, 34, 28.1, 66, 28.6, 95, 27.2, 124, 30, 159, 28.6, 186, 27.7, 216, 30, 252, 30, 278, 30 
4494581, H, 2007-09-04, 1, 40.1, 25.7, -0.5, 0.0015, 9, 2.8, 9306, 66.4, 34.96, 17, 30.9, 49, 34.5, 78, 39, 107, 32.2, 142, 28.6, 169, 29.1, 199, 33.6, 235, 25.9, 261, 30 
4494563, H, 2007-08-10, 1, 38.3, 36.7, -0.5, 0.0011, 10, 4.9, 9203, 92.7, 33.16, 13, 19.1, 42, 21.3, 74, 27.2, 103, 30, 132, 28.6, 167, 30, 194, 34.5, 224, 31.3, 260, 33.6, 286, 32.2 
4494578, H, 2007-09-07, 1, 26.1, 34.7, -0.5, -0.0004, 9, 4, 8036, 0, 13.23, 14, 9.5, 46, 24.1, 75, 21.8, 104, 24.5, 139, 27.2, 166, 27.7, 196, 33.1, 232, 34.5, 258, 31.3 
4494561, H, 2007-07-31, 1, 30.2, 28.8, -0.5, 0.0024, 10, 2.2, 6117, 58.4, 24.55, 23, 26.3, 52, 24.5, 84, 20.4, 113, 23.2, 142, 19.1, 177, 20.4, 204, 19.5, 234, 19.1, 270, 16.3, 296, 12.3 
4494550, H, 2007-09-17, 1, 44, 36.7, -0.5, 0.0008, 8, 4, 11040, 102.9, 39.18, 36, 26.8, 65, 36.3, 94, 36.3, 129, 42.2, 156, 40, 186, 33.1, 222, 38.1, 248, 39.5 
4494559, H, 2007-07-27, 1, 44.2, 30.2, -0.5, 0.0005, 10, 4.1, 11721, 102.9, 41.06, 27, 35.4, 56, 40.9, 88, 40.4, 117, 37.2, 146, 38.1, 181, 36.8, 208, 50.8, 238, 38.6, 274, 35.4, 300, 36.8 
4494572, H, 2007-09-20, 1, 38.3, 25.7, -0.5, 0.0009, 8, 3.5, 9674, 78.5, 34.78, 33, 35.9, 62, 35.4, 91, 39.5, 126, 28.6, 153, 37.2, 183, 28.6, 219, 31.3, 245, 32.2 
4494564, H, 2007-07-25, 1, 27.9, 30.8, -0.5, 0.0009, 9, 0.9, 7044, 90.6, 25.12, 29, 23.2, 58, 23.2, 90, 25.9, 119, 23.2, 148, 24.5, 183, 24.5, 210, 23.6, 240, 23.2, 276, 21.8 
