lactkey,Breed,CalveDate,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
4541047, H, 2006-04-18, 1, 38.3, 24.8, -0.5, 0.0011, 10, 2.8, 9416, 71.9, 34.38, 17, 30.9, 45, 38.6, 87, 30.4, 115, 35, 143, 33.1, 171, 34.5, 199, 27.7, 241, 30, 269, 28.6, 297, 24.1 
4541038, H, 2006-04-18, 1, 39.6, 30.2, -0.5, 0.0011, 10, 1.7, 9683, 82.6, 35.06, 17, 27.7, 45, 35, 87, 32.7, 115, 37.7, 143, 35.4, 171, 30.4, 199, 30.9, 241, 30, 269, 30, 297, 29.5 
4540888, H, 2006-04-16, 1, 41.2, 30.2, -0.5, 0.0011, 10, 4.3, 10125, 83.8, 36.56, 19, 30.4, 47, 37.2, 89, 30.9, 117, 37.7, 145, 32.7, 173, 40.9, 201, 30.9, 243, 38.6, 271, 24.1, 299, 30.4 
4541032, H, 2006-04-18, 1, 52.1, 28.9, -0.5, 0.0014, 10, 4.4, 12157, 73, 45.12, 17, 34.5, 45, 48.1, 87, 44.5, 115, 44, 143, 44.5, 171, 37.2, 199, 34, 241, 39, 269, 44.5, 297, 28.1 
4541005, H, 2006-04-13, 1, 41.1, 31.3, -0.5, 0.001, 10, 2.3, 10225, 88.4, 36.67, 22, 27.7, 50, 35.4, 92, 40.4, 120, 35.9, 148, 37.7, 176, 30.4, 204, 33.1, 246, 35, 274, 30, 302, 30.4 
4540979, H, 2006-04-20, 1, 47.8, 30.2, -0.5, 0.0017, 10, 3.7, 10722, 70.3, 40.46, 15, 35.9, 43, 39, 85, 33.6, 113, 42.7, 141, 34.5, 169, 40, 197, 38.1, 239, 32.7, 267, 25.4, 295, 30.4 
4540975, H, 2006-04-11, 1, 44.4, 27.7, -0.5, 0.0011, 10, 2.8, 10977, 79.1, 39.74, 24, 40, 52, 36.8, 94, 34, 122, 40.9, 150, 37.7, 178, 36.3, 206, 36.8, 248, 35.4, 276, 31.3, 304, 33.6 
4541056, H, 2006-04-21, 1, 39.3, 32.3, -0.5, 0.0015, 10, 5.5, 8967, 76, 33.36, 14, 26.3, 42, 32.2, 84, 22.2, 112, 37.7, 140, 40.4, 168, 29.5, 196, 34.5, 238, 21.8, 266, 26.3, 294, 21.3 
4540981, H, 2006-04-06, 1, 47.6, 31.1, -0.5, 0.0013, 9, 1.9, 11189, 78, 41.17, 29, 39, 57, 37.7, 99, 39, 127, 40.4, 155, 40.4, 183, 39, 211, 37.2, 253, 33.6, 281, 30 
4541054, H, 2006-04-22, 1, 44, 24.8, -0.5, 0.0011, 10, 4.2, 10826, 71.9, 39.53, 13, 34, 41, 43.1, 83, 38.6, 111, 45.4, 139, 38.6, 167, 29.1, 195, 38.1, 237, 30, 265, 34, 293, 28.1 
4541003, H, 2006-04-04, 1, 47.4, 32, -0.5, 0.001, 9, 2.8, 11760, 89.7, 42.15, 31, 37.2, 59, 39, 101, 42.2, 129, 44.5, 157, 38.6, 185, 41.8, 213, 40, 255, 30.9, 283, 39 
4541052, H, 2006-04-22, 1, 42.6, 30.4, -0.5, 0.001, 10, 3.7, 10553, 85.4, 37.98, 13, 31.3, 41, 35.9, 83, 32.2, 111, 42.2, 139, 33.1, 167, 36.3, 195, 35, 237, 32.7, 265, 39.5, 293, 28.1 
4540908, H, 2006-04-04, 1, 43.2, 30.8, -0.5, 0.0005, 9, 3.4, 11500, 105.7, 40.23, 31, 32.7, 59, 40.4, 101, 43.1, 129, 44, 157, 33.6, 185, 35.9, 213, 37.7, 255, 36.8, 283, 41.8 
4540987, H, 2006-04-23, 1, 48.5, 31.6, -0.5, 0.0021, 10, 3.4, 10149, 65.1, 39.55, 12, 30.9, 40, 38.6, 82, 35, 110, 41.3, 138, 36.3, 166, 37.2, 194, 36.8, 236, 22.7, 264, 28.6, 292, 24.1 
4541001, H, 2006-04-02, 1, 39, 28.1, -0.5, 0.0013, 10, 2.6, 9247, 73.5, 34.14, 5, 25, 33, 34.5, 61, 34, 103, 29.5, 131, 32.2, 159, 31.3, 187, 33.1, 215, 25.4, 257, 27.2, 285, 30.4 
4541050, H, 2006-04-23, 1, 33.2, 29.5, -0.5, 0.0005, 10, 2, 8870, 102.9, 31.02, 12, 23.6, 40, 30.4, 82, 29.1, 110, 30, 138, 31.8, 166, 27.7, 194, 29.5, 236, 27.2, 264, 30.4, 292, 32.2 
4540965, H, 2006-03-31, 1, 44, 24.8, -0.5, 0.0014, 10, 6.1, 10388, 66.5, 38.77, 7, 29.5, 35, 41.8, 63, 41.8, 105, 41.3, 133, 38.6, 161, 33.1, 189, 17.3, 217, 34.5, 259, 35.4, 287, 33.1 
