,Herd A,Herd B,Herd C,Herd D,Herd E,Herd F,Herd G,Herd H,Herd I,Herd J,Herd K,Herd L,Herd M,Herd N,Herd O,Herd P,Herd Q,Herd R,Herd S,Herd T,Herd U
Scale,5.04,8.74,8.71,9.36,10.25,12.85,11.120000000000001,8.96,9.16,6.72,9.4,8.08,8.85,12.69,8.040000000000001,9.,8.76,10.56,8.44,11.19,9.33
Ramp,4.3,5.62,6.5200000000000005,7.1000000000000005,9.01,6.79,7.55,8.35,9.28,9.31,6.37,8.290000000000001,6.78,9.53,7.07,7.8100000000000005,7.1000000000000005,9.31,7.67,8.07,8.950000000000001
Offset,0.4,0.38,0.35000000000000003,0.4,0.39,0.38,0.4,0.4,0.39,0.39,0.4,0.4,0.37,0.39,0.37,0.4,0.39,0.38,0.4,0.38,0.4
Decay,0.000824,0.000971,0.000772,0.0009239999999999999,0.001052,0.00082,0.001019,0.0008979999999999999,0.000816,0.000837,0.0007599999999999999,0.0006529999999999999,0.000838,0.000991,0.0008659999999999999,0.00081,0.000615,0.00077,0.000734,0.001085,0.0009729999999999999
RMSE,1.1500000000000001,1.3,1.22,1.81,2.2600000000000002,1.8,2.61,2.39,1.62,1.29,1.95,1.5,2.16,3.89,2.13,3.48,1.76,2.11,1.6300000000000001,3.31,1.53
M305,1067,1322,1333,1857,2137,2302,1964,1537,1615,1303,2194,1675,1900,2045,2221,1555,1434,1897,1943,2796,1925
PeakDay,14.1,16.78,9.35,12.620000000000001,12.9,12.780000000000001,21.02,17.13,19.45,17.63,15.76,14.88,16.6,18.54,13.92,12.74,12.66,14.33,16.95,27.85,15.18
PeakMilk,3.9,5.91,5.97,7.2700000000000005,7.55,9.85,8.700000000000001,6.11,6.32,5.8,7.95,6.25,7.96,8.71,6.74,6.13,6.0200000000000005,7.47,6.94,10.01,6.72
