,Herd A,Herd B,Herd C,Herd D,Herd E,Herd F,Herd G,Herd H,Herd I,Herd J,Herd K,Herd L,Herd M,Herd N,Herd O,Herd P,Herd Q,Herd R,Herd S,Herd T,Herd U
Scale,26.91,30.17,28.55,35.07,36.22,40.410000000000004,40.33,33.7,38.08,40.1,40.13,42.65,43.69,39.95,41.5,40.82,39.410000000000004,42.63,42.95,47.62,40.87
Ramp,30.59,31.41,30.12,30.87,30.25,30.57,29.62,30.2,32.12,31.13,31.03,31.68,32.67,31.89,32.34,31.79,35.04,30.25,31.8,30.93,33.65
Offset,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
Decay,0.001472,0.000806,0.001532,0.00115,0.0010999999999999998,0.001392,0.0010119999999999999,0.0009739999999999999,0.00091,0.000616,0.0008759999999999999,0.001312,0.000732,0.0008759999999999999,0.000954,0.00071,0.00047799999999999996,0.000998,0.001034,0.0009299999999999999,0.00058
RMSE,2.75,2.89,2.2600000000000002,4.57,4.08,3.38,3.93,3.33,3.7800000000000002,3.12,4.3100000000000005,4.59,3.97,4.59,3.,3.85,3.68,3.7,3.67,5.62,3.2600000000000002
M305,6195,7667,6486,8461,8842,9433,9955,8406,9579,10522,10136,10091,11239,10041,10356,10568,10491,10570,10552,12043,10736
PeakDay,79.51,89.86,75.12,82.62,85.03,77.08,85.29,78.95,92.04,99.94,98.35000000000001,83.53,95.7,98.23,97.12,97.01,96.08,93.16,89.51,82.07000000000001,110.27
PeakMilk,23.13,26.47,24.25,30.17,31.990000000000002,34.76,35.43,29.02,33.230000000000004,35.86,36.28,37.07,38.54,35.33,36.86,36.08,33.46,38.19,37.83,40.410000000000004,37.01
