lactkey,Breed,CalveDate,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
4506934, H, 2006-05-03, 2, 45, 23.4, -0.8, 0.0031, 7, 2.7, 8405, 46.1, 36.41, 41, 33.6, 83, 37.2, 132, 28.6, 174, 30, 216, 21.8, 258, 21.8, 300, 13.6 
4507160, H, 2006-05-08, 4, 53.5, 26.1, 0, 0.0032, 7, 3, 9754, 48.9, 42.21, 36, 40.4, 78, 44, 127, 34.5, 169, 31.3, 211, 25.9, 253, 19.1, 295, 25.9 
4506193, H, 2006-05-10, 2, 43.9, 21.5, -0.8, 0.003, 7, 2.3, 8281, 44.2, 36.03, 34, 39, 76, 33.6, 125, 26.3, 167, 24.5, 209, 24.5, 251, 20.4, 293, 20.4 
4506444, H, 2006-05-10, 3, 51.1, 30.2, 0, 0.0033, 7, 3.9, 9111, 51.6, 39.21, 34, 39, 76, 33.6, 125, 40.4, 167, 30, 209, 27.2, 251, 16.3, 293, 20.4 
4507900, H, 2006-05-13, 3, 66.8, 22.2, 0, 0.0035, 7, 5.7, 11890, 43.2, 53.46, 31, 52.7, 73, 50.8, 122, 44.9, 164, 33.6, 206, 34, 248, 39, 290, 15 
4506958, H, 2005-04-01, 3, 59.3, 30.1, 0, 0.002, 7, 6.1, 12705, 65.8, 49.13, 11, 34.5, 53, 50.4, 96, 48.6, 134, 52.7, 179, 33.6, 221, 30.4, 263, 43.6 
4507191, H, 2006-05-14, 2, 56, 23.6, -0.8, 0.0012, 7, 4, 13560, 66.9, 50.09, 30, 45.9, 72, 46.8, 121, 56.3, 163, 40.4, 205, 43.6, 247, 40.4, 289, 40.4 
4506231, H, 2005-03-16, 2, 46.2, 25.7, -0.8, 0.0016, 7, 3.6, 10498, 63.8, 39.89, 27, 35.4, 69, 37.2, 112, 31.8, 150, 31.8, 195, 36.8, 237, 34, 279, 30.9 
4507709, H, 2006-05-14, 3, 49.7, 24.8, 0, 0.002, 7, 4.8, 10806, 59, 42.26, 30, 37.7, 72, 48.1, 121, 38.1, 163, 33.6, 205, 24.5, 247, 33.6, 289, 33.6 
4506163, H, 2005-03-12, 2, 28.9, 24.3, -0.8, -0.0001, 7, 5.3, 8574, 0, 14.92, 31, 17.7, 73, 34, 116, 24.1, 154, 24.1, 199, 29.1, 241, 37.2, 283, 30.9 
4506883, H, 2006-05-16, 2, 49.6, 22, -0.8, 0.0022, 7, 3.6, 10460, 51.4, 42.18, 28, 40.4, 70, 46.8, 119, 30.9, 161, 32.2, 203, 32.7, 245, 31.3, 287, 27.2 
4506234, H, 2005-03-06, 3, 83.6, 25.2, 0, 0.0029, 7, 6.8, 15870, 50.1, 67.28, 37, 64, 79, 74.5, 122, 47.2, 160, 52.7, 205, 53.6, 247, 43.1, 289, 29.5 
4506235, H, 2006-05-17, 4, 61.9, 31.9, 0, 0.0019, 7, 8.6, 13308, 68.8, 51.06, 27, 47.2, 69, 50.8, 118, 43.6, 160, 39, 202, 61.3, 244, 39, 286, 27.2 
4506568, H, 2005-02-16, 6, 57.8, 29.5, 0, 0.002, 7, 11.5, 12450, 65.3, 48.13, 13, 10.4, 55, 46.3, 97, 52.7, 140, 40, 178, 34, 223, 44.5, 265, 35 
4507596, H, 2006-05-18, 2, 50.2, 19.1, -0.8, 0.0016, 7, 8.4, 11579, 52.9, 44.63, 26, 55.4, 68, 42.7, 117, 27.7, 159, 35, 201, 46.3, 243, 35, 285, 35 
4506189, R, 2005-02-10, 2, 56.3, 24.3, -0.8, 0.002, 7, 10.6, 12187, 56.9, 47.92, 19, 46.3, 61, 29.5, 103, 64.5, 146, 44.9, 184, 30.9, 229, 35.9, 271, 32.7 
4507702, H, 2006-05-19, 4, 36.8, 41.4, 0, 0.0004, 7, 5.5, 9751, 139.1, 34.1, 25, 13.6, 67, 32.2, 116, 36.8, 158, 31.3, 200, 38.1, 242, 35, 284, 30 
4507288, H, 2005-02-09, 3, 71.5, 30.9, 0, 0.0029, 7, 7.6, 13489, 56.1, 55.91, 20, 40.4, 62, 68.6, 104, 52.7, 147, 44.9, 185, 32.7, 230, 44.5, 272, 30.4 
4507608, H, 2006-05-21, 2, 47.9, 23.4, -0.8, 0.0019, 7, 2.3, 10500, 56.6, 41.11, 23, 36.3, 65, 40, 114, 42.7, 156, 35, 198, 31.3, 240, 27.2, 282, 30 
4506372, H, 2005-02-09, 2, 48.1, 24.4, -0.8, 0.0011, 7, 3.1, 11945, 72.1, 43.44, 20, 33.1, 62, 44.9, 104, 45.9, 147, 39, 185, 39.5, 230, 42.7, 272, 32.7 
4506824, H, 2006-05-21, 2, 41.8, 19.1, -0.8, 0.0026, 7, 3.8, 8428, 44.4, 35.49, 23, 43.1, 65, 34.5, 114, 30, 156, 28.6, 198, 23.2, 240, 24.5, 282, 19.1 
4507588, J, 2005-02-04, 2, 46.8, 22.3, -0.8, 0.0019, 7, 2.3, 10378, 55.6, 40.53, 25, 41.3, 67, 37.7, 109, 37.2, 152, 34, 190, 30.9, 235, 33.6, 277, 28.1 
4507103, H, 2006-05-22, 2, 50.2, 19.1, -0.8, 0.0017, 7, 6.9, 11410, 51.8, 44.39, 22, 51.3, 64, 34.5, 113, 35.9, 155, 33.6, 197, 36.8, 239, 40.4, 281, 25.9 
4507647, H, 2005-02-03, 3, 48.2, 16.4, 0, 0.0029, 7, 2.9, 9395, 39.6, 41.07, 26, 41.3, 68, 37.7, 110, 37.2, 153, 29.1, 191, 28.6, 236, 20, 278, 26.8 
4507482, H, 2006-05-23, 5, 37.3, 12, 0, 0.0012, 7, 2.9, 9300, 43, 34.93, 21, 35, 63, 34.5, 112, 26.3, 154, 31.3, 196, 32.7, 238, 27.2, 280, 28.6 
4506507, H, 2005-01-30, 3, 38.5, 36.9, 0, 0.0017, 7, 3.3, 8419, 77.9, 31.59, 30, 25.9, 72, 31.8, 114, 34, 157, 31.8, 195, 20.9, 240, 24.5, 282, 26.8 
4507565, H, 2006-05-24, 4, 66.7, 17.4, 0, 0.0034, 7, 11.6, 12116, 38.1, 55.39, 20, 52.7, 62, 53.6, 111, 74.9, 153, 35, 195, 42.2, 237, 30, 279, 21.8 
