lactkey,Breed,CalveDate,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
845097, H, 2005-10-28, 7, 45, 30.7, 0, 0.0025, 8, 2.3, 8964, 60.1, 36.02, 12, 25.9, 49, 37.7, 84, 34, 148, 31.8, 180, 31.8, 218, 27.7, 250, 23.6, 285, 18.2 
845109, H, 2006-01-05, 5, 65, 36.1, 0, 0.0035, 8, 3, 11145, 54.1, 47.81, 15, 36.8, 79, 47.2, 111, 49, 149, 39, 181, 35.4, 216, 28.6, 259, 25.4, 287, 20.4 
845177, H, 2005-10-27, 3, 53.5, 40.4, 0, 0.0029, 8, 3, 9879, 63.5, 39.94, 13, 27.7, 50, 40, 85, 40.4, 149, 39, 181, 35, 219, 28.1, 251, 25.4, 286, 20 
845018, H, 2006-01-06, 3, 39.8, 30.4, 0, 0.0038, 8, 1.6, 6606, 47.7, 29.7, 14, 23.2, 78, 30.9, 110, 26.3, 148, 23.6, 180, 20, 215, 17.3, 258, 13.2, 286, 11.3 
844888, H, 2005-10-23, 6, 33.1, 27.9, 0, 0.0028, 8, 1.6, 6320, 53.7, 26.34, 17, 22.2, 54, 27.2, 89, 24.1, 153, 20.9, 185, 20.4, 223, 19.1, 255, 18.2, 290, 11.3 
845182, H, 2006-01-07, 2, 45.8, 23.5, -0.8, 0.0035, 8, 2.2, 8050, 43.2, 36.29, 13, 29.1, 77, 35.4, 109, 31.8, 147, 30.9, 179, 25.4, 214, 18.2, 257, 17.3, 285, 14.5 
844737, H, 2005-10-17, 6, 40.1, 14.4, 0, 0.0036, 8, 2.9, 7140, 33.4, 33.79, 23, 34, 60, 29.1, 95, 29.1, 159, 24.1, 191, 25.4, 229, 18.2, 261, 14.1, 296, 9.1 
845104, H, 2006-01-15, 6, 48.7, 22.8, 0, 0.0045, 9, 4.1, 7546, 38.2, 37.15, 5, 24.5, 69, 40.4, 101, 35.4, 139, 22.2, 171, 20.9, 206, 13.6, 249, 18.2, 277, 12.7, 304, 7.3 
845043, H, 2005-10-16, 2, 35.5, 23.7, -0.8, 0.0018, 8, 2.1, 7904, 58.3, 30.62, 24, 25.4, 61, 30.9, 96, 31.3, 160, 27.7, 192, 26.3, 230, 21.8, 262, 25, 297, 17.3 
845301, H, 2006-01-25, 2, 44.5, 22.1, -0.8, 0.0025, 8, 1.9, 9049, 49.3, 37.33, 59, 40, 91, 34.5, 129, 30.9, 161, 28.1, 196, 24.5, 239, 25, 267, 25.4, 294, 21.8 
845278, X, 2005-10-13, 4, 44.8, 11.3, -0, 0.0021, 8, 2.7, 9845, 34.7, 40.75, 27, 43.6, 64, 37.7, 99, 33.6, 163, 35.4, 195, 33.6, 233, 26.3, 265, 24.5, 300, 21.3 
844937, H, 2006-02-01, 6, 53.5, 21.1, 0, 0.0034, 8, 1.4, 9657, 42.7, 43.24, 52, 43.1, 84, 41.8, 122, 34, 154, 31.3, 189, 27.2, 232, 24.5, 260, 25, 287, 19.1 
844861, H, 2005-10-13, 2, 52.3, 22.8, -0.8, 0.0031, 8, 3.5, 9761, 45.3, 42.47, 27, 43.1, 64, 35.9, 99, 40.4, 163, 35, 195, 31.8, 233, 26.8, 265, 22.2, 300, 15 
845129, X, 2006-02-01, 2, 60.8, 23, -0.8, 0.0043, 8, 3.4, 9688, 38.6, 46.81, 52, 41.8, 84, 48.1, 122, 38.1, 154, 30, 189, 26.8, 232, 21.8, 260, 18.6, 287, 12.7 
844591, H, 2005-10-11, 2, 41.3, 23.4, -0.8, 0.0027, 8, 4.4, 8109, 49, 33.99, 29, 32.2, 66, 31.3, 101, 30.9, 165, 26.8, 197, 29.5, 235, 26.3, 267, 21.8, 302, 8.2 
845113, H, 2006-02-02, 2, 50.2, 23.2, -0.8, 0.0027, 8, 1.9, 9840, 48.6, 41.32, 51, 39, 83, 40.9, 121, 38.6, 153, 34, 188, 26.8, 231, 25.4, 259, 25.4, 286, 23.6 
845504, H, 2005-10-11, 2, 47.5, 24, -0.8, 0.0024, 8, 3.3, 9716, 52.2, 39.61, 29, 35.9, 66, 38.6, 101, 35.9, 165, 35.4, 197, 35.9, 235, 27.7, 267, 22.2, 302, 18.2 
845364, H, 2006-02-04, 6, 50.1, 23.7, 0, 0.0021, 8, 2.6, 10731, 56.1, 42.51, 49, 42.7, 81, 43.6, 119, 35, 151, 38.1, 186, 30.4, 229, 34.5, 257, 31.8, 284, 27.2 
844657, X, 2005-10-05, 3, 62.4, 28.5, -0, 0.0041, 7, 2.8, 9993, 44.3, 46.45, 35, 46.3, 72, 42.2, 107, 41.8, 171, 33.6, 203, 29.5, 241, 21.8, 273, 15 
845094, H, 2006-02-05, 2, 46.7, 22.8, -0.8, 0.0035, 9, 1.5, 8223, 42.6, 37.16, 48, 36.8, 80, 35, 118, 30.4, 150, 28.6, 185, 24.5, 228, 22.7, 256, 20.4, 283, 14.5, 305, 13.6 
845086, H, 2005-10-02, 3, 47.7, 30.2, 0, 0.0035, 7, 1.8, 8241, 49.7, 36.18, 38, 35, 75, 34.5, 110, 34, 174, 28.1, 206, 23.6, 244, 19.1, 276, 15 
845309, H, 2006-02-06, 5, 51, 30.3, 0, 0.0035, 9, 3.1, 8827, 49.9, 38.66, 47, 36.3, 79, 39.5, 117, 34.5, 149, 29.5, 184, 24.1, 227, 26.8, 255, 24.5, 282, 18.2, 304, 11.3 
844586, H, 2005-10-01, 6, 40.7, 31.7, 0, 0.0031, 7, 3.2, 7453, 54.8, 31.34, 39, 30.4, 76, 29.5, 111, 27.7, 175, 30.9, 207, 19.1, 245, 19.5, 277, 14.1 
845436, H, 2006-02-06, 4, 57.4, 23, 0, 0.003, 9, 1.5, 10808, 47, 46.6, 47, 46.3, 79, 45.4, 117, 42.7, 149, 35.4, 184, 30.4, 227, 29.1, 255, 28.6, 282, 23.6, 304, 22.7 
845212, H, 2005-09-30, 2, 38.4, 23.2, -0.8, 0.0017, 7, 2.2, 8676, 58.8, 33.37, 40, 31.8, 77, 32.7, 112, 30.4, 176, 30, 208, 31.3, 246, 23.6, 278, 21.3 
845147, H, 2006-02-07, 3, 54.6, 26.4, 0, 0.0026, 9, 4.6, 10818, 54.3, 44.39, 46, 42.7, 78, 44, 116, 44.5, 148, 41.8, 183, 25.9, 226, 22.7, 254, 29.5, 281, 28.6, 303, 28.6 
845281, X, 2005-09-29, 2, 28.7, 22.5, -0.8, 0.0033, 7, 0.9, 5233, 43.9, 23.14, 41, 24.1, 78, 22.2, 113, 19.1, 177, 15.4, 209, 12.7, 247, 13.6, 279, 12.3 
845494, H, 2006-02-10, 3, 47.4, 20.9, 0, 0.0027, 9, 1.7, 9343, 46.6, 39.52, 43, 40.4, 75, 37.2, 113, 33.6, 145, 35.4, 180, 27.7, 223, 25.4, 251, 26.3, 278, 20.9, 300, 20 
