lactkey,Breed,CalveDate,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
4123341, H, 2006-08-21, 1, 42.8, 36.4, -0.5, 0.0001, 9, 2.3, 12029, 175.8, 41.81, 17, 26.8, 47, 35.9, 81, 39, 109, 40, 137, 38.1, 172, 45.4, 201, 44.9, 228, 41.8, 258, 40 
4123433, H, 2006-08-21, 1, 44, 36.7, -0.5, 0.0008, 10, 4.1, 11040, 102.9, 39.18, 17, 30.9, 47, 30, 81, 33.1, 109, 33.6, 137, 39.5, 172, 38.1, 201, 33.1, 228, 37.2, 258, 39, 289, 40 
4123454, H, 2006-08-14, 1, 32.3, 32.2, -0.5, 0.0007, 10, 2.9, 8319, 99.1, 29.4, 24, 24.1, 54, 27.2, 88, 25, 116, 30.9, 144, 32.7, 179, 31.3, 208, 27.2, 235, 28.1, 265, 20.9, 296, 28.1 
4123458, H, 2006-08-28, 1, 38.3, 36.7, -0.5, 0.0007, 10, 3.8, 9756, 107.6, 34.45, 10, 24.1, 40, 26.3, 74, 25.9, 102, 32.2, 130, 35.4, 165, 37.2, 194, 32.2, 221, 35.4, 251, 36.3, 282, 27.7 
4123448, H, 2006-08-13, 1, 45.4, 32.5, -0.5, 0.0005, 10, 2.5, 12115, 111.9, 42.33, 25, 33.6, 55, 40.9, 89, 40.4, 117, 39, 145, 41.3, 180, 47.7, 209, 40.4, 236, 42.2, 266, 39.5, 297, 36.8 
4123173, H, 2006-08-30, 1, 38.3, 36.7, -0.5, 0.0007, 10, 5, 9756, 107.6, 34.45, 8, 17.7, 38, 21.3, 72, 31.8, 100, 31.3, 128, 37.7, 163, 39.5, 192, 33.1, 219, 37.7, 249, 33.6, 280, 24.5 
4123397, H, 2006-08-13, 1, 37.1, 35.1, -0.5, 0.0005, 10, 3.3, 9833, 117.8, 34.38, 25, 28.1, 55, 28.6, 89, 31.8, 117, 30, 145, 38.1, 180, 35.9, 209, 36.3, 236, 34.5, 266, 34.5, 297, 26.3 
4123456, H, 2006-08-31, 1, 35.5, 36.3, -0.5, 0.0007, 10, 2.6, 9057, 106.5, 31.99, 7, 19.5, 37, 27.2, 71, 31.3, 99, 29.5, 127, 31.8, 162, 30, 191, 25, 218, 30.4, 248, 34, 279, 30.9 
4123452, H, 2006-08-08, 1, 48, 32.9, -0.5, 0.0015, 10, 2.4, 11031, 78, 40.84, 30, 36.3, 60, 37.7, 94, 39.5, 122, 40.4, 150, 43.1, 185, 38.6, 214, 36.3, 241, 32.7, 271, 32.2, 302, 26.8 
4123350, H, 2006-09-01, 1, 43.5, 30.6, -0.5, 0.0005, 10, 1, 11687, 108.6, 40.79, 6, 25.9, 36, 37.7, 70, 38.1, 98, 40.9, 126, 39.5, 161, 39.5, 190, 40.4, 217, 38.6, 247, 39, 278, 39.5 
4123467, H, 2006-08-08, 1, 44, 36.6, -0.5, 0.0004, 10, 2.8, 11834, 130.3, 41.25, 30, 33.1, 60, 33.1, 94, 38.1, 122, 38.1, 150, 44.9, 185, 39.5, 214, 41.3, 241, 42.7, 271, 40, 302, 37.2 
4123340, H, 2006-09-01, 1, 44, 32.7, -0.5, 0.0007, 10, 2.1, 11442, 103.4, 40.28, 6, 26.3, 36, 33.1, 70, 39, 98, 40.9, 126, 41.8, 161, 44, 190, 36.3, 217, 38.6, 247, 38.1, 278, 34.5 
4123405, H, 2006-08-05, 1, 38.3, 36.6, -0.5, 0.0003, 10, 4.3, 10366, 134.8, 36.09, 5, 13.6, 33, 22.2, 63, 30.4, 97, 32.7, 125, 35.9, 153, 41.3, 188, 36.3, 217, 35.9, 244, 35.4, 274, 34.5 
4123462, H, 2006-09-11, 1, 38.3, 36.6, -0.5, 0.0006, 10, 3.4, 10003, 116.4, 35.08, 26, 28.1, 60, 28.6, 88, 27.7, 116, 32.2, 151, 35.9, 180, 37.2, 207, 33.6, 237, 36.8, 268, 33.6, 296, 29.1 
4123380, H, 2006-08-04, 1, 36.6, 32, -0.5, -0, 10, 1.9, 10597, 0, 18.61, 6, 22.7, 34, 31.3, 64, 32.2, 98, 35, 126, 33.6, 154, 35.4, 189, 38.1, 218, 40.4, 245, 38.6, 275, 35 
4123370, H, 2006-09-22, 1, 44, 36.6, -0.5, 0.0002, 10, 5.3, 12195, 154.7, 42.37, 15, 25.4, 49, 36.8, 77, 33.1, 105, 30.4, 140, 43.1, 169, 39.5, 196, 39, 226, 44.5, 257, 48.1, 285, 44 
4123399, H, 2006-07-29, 1, 38.3, 36.7, -0.5, 0.0008, 10, 3.4, 9601, 102.9, 34.07, 12, 21.8, 40, 30.4, 70, 27.7, 104, 27.7, 132, 33.1, 160, 35, 195, 36.8, 224, 33.6, 251, 30.9, 281, 27.7 
4123444, H, 2006-10-08, 1, 42, 31.9, -0.5, 0.0001, 10, 3.2, 11854, 150.9, 40.98, 33, 36.3, 61, 35.4, 89, 38.6, 124, 45.9, 153, 37.2, 180, 40.4, 210, 41.8, 241, 40.9, 269, 46.3, 298, 36.8 
4123391, H, 2006-07-27, 1, 44.7, 34.8, -0.5, 0.0002, 10, 2.4, 12422, 147.3, 43.09, 14, 30, 42, 38.1, 72, 35.9, 106, 40.9, 134, 44.9, 162, 44.9, 197, 45.9, 226, 42.7, 253, 39.5, 283, 43.1 
4123381, H, 2006-10-09, 1, 48.2, 36.6, -0.5, 0.0003, 10, 4.4, 13086, 136.7, 45.54, 32, 36.3, 60, 33.6, 88, 40.4, 123, 48.6, 152, 46.8, 179, 44, 209, 46.3, 240, 51.3, 268, 46.3, 297, 39 
4123435, H, 2006-07-26, 1, 46.1, 30.5, -0.5, 0.0003, 10, 2.4, 12757, 124.1, 44.18, 15, 36.3, 43, 39.5, 73, 39, 107, 41.3, 135, 46.3, 163, 46.3, 198, 41.8, 227, 43.6, 254, 44, 284, 42.7 
4123460, H, 2006-10-22, 1, 29.9, 26, -0.5, 0.0006, 10, 5.6, 7949, 90.5, 27.93, 19, 34.5, 47, 26.8, 75, 16.8, 110, 24.5, 139, 25.9, 166, 25.4, 196, 28.1, 227, 27.2, 255, 30.9, 284, 25 
4123409, H, 2006-07-24, 1, 38, 32.1, -0.5, 0.0003, 10, 2, 10391, 123.7, 36.07, 17, 27.7, 45, 32.2, 75, 32.7, 109, 35.4, 137, 33.6, 165, 38.1, 200, 38.6, 229, 37.2, 256, 34.5, 286, 32.2 
4123475, H, 2006-10-23, 1, 42, 36.5, -0.5, 0.0001, 10, 2.6, 11869, 187.6, 41.29, 18, 33.1, 46, 33.6, 74, 35.4, 109, 38.6, 138, 37.7, 165, 40, 195, 42.2, 226, 41.3, 254, 40.9, 283, 44.9 
4123285, H, 2006-07-23, 1, 42.5, 33.9, -0.5, 0.0014, 10, 4.9, 9831, 80.7, 36.19, 18, 23.6, 46, 35.4, 76, 35.9, 110, 35.4, 138, 38.6, 166, 39, 201, 35, 230, 26.8, 257, 35.4, 287, 18.2 
4123469, H, 2006-10-26, 1, 44, 36.7, -0.5, 0.0008, 10, 1.9, 11040, 102.9, 39.18, 15, 27.7, 43, 31.8, 71, 35.4, 106, 40.4, 135, 37.2, 162, 37.2, 192, 38.1, 223, 37.2, 251, 35.9, 280, 34 
4123442, H, 2006-07-19, 1, 36.4, 31.9, -0.5, 0.001, 9, 3.4, 9031, 89.4, 32.38, 22, 28.6, 50, 28.6, 80, 30.9, 114, 35, 142, 26.8, 170, 35.4, 205, 30.9, 234, 33.1, 261, 23.6 
4123471, H, 2006-10-26, 1, 38.3, 36.7, -0.5, 0.0011, 10, 4, 9203, 92.7, 33.16, 15, 19.5, 43, 22.7, 71, 30, 106, 35.4, 135, 32.2, 162, 29.1, 192, 33.6, 223, 29.1, 251, 30.4, 280, 33.1 
