lactkey,Breed,CalveDate,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
4511445, H, 2006-05-10, 1, 38.3, 24.8, -0.5, 0.0017, 9, 6.5, 8664, 62.1, 33.1, 31, 37.7, 59, 35.4, 94, 28.1, 115, 22.7, 150, 35.4, 178, 31.8, 206, 24.5, 241, 36.8, 269, 16.3 
4511431, H, 2006-05-10, 1, 38.3, 24.8, -0.5, 0.0011, 10, 3.6, 9416, 71.9, 34.38, 31, 35, 59, 42.7, 94, 36.8, 115, 29.5, 150, 35.4, 178, 30.4, 206, 30.9, 241, 28.1, 269, 30, 297, 24.1 
4511443, H, 2006-05-09, 1, 42.3, 33.8, -0.5, 0.0012, 10, 3.5, 10104, 85.7, 36.7, 32, 27.7, 60, 35.9, 95, 36.8, 116, 42.7, 151, 34, 179, 39.5, 207, 34, 242, 28.1, 270, 30, 298, 26.8 
4510304, H, 2006-05-12, 1, 38.3, 33.7, -0.5, 0.0003, 10, 5.5, 10430, 127.3, 36.25, 29, 28.6, 57, 28.6, 92, 36.8, 113, 42.7, 148, 34, 176, 39.5, 204, 34, 239, 44.9, 267, 24.5, 295, 35 
4511401, H, 2006-05-08, 1, 35.6, 27.8, -0.5, 0.0008, 10, 7.4, 9083, 85.6, 32.39, 33, 30, 61, 33.1, 96, 42.2, 117, 30.9, 152, 24.5, 180, 21.3, 208, 30.9, 243, 16.8, 271, 32.7, 299, 40 
4511440, H, 2006-05-13, 1, 39, 27.9, -0.5, -0, 10, 3.7, 11362, 0, 19.83, 28, 37.7, 56, 35.4, 91, 36.8, 112, 35, 147, 38.6, 175, 37.2, 203, 34, 238, 36.8, 266, 42.7, 294, 45.4 
4511392, H, 2006-05-08, 1, 31.8, 31.8, -0.5, 0.0005, 9, 3.2, 8436, 107.9, 29.52, 33, 27.7, 61, 23.6, 96, 32.2, 117, 26.8, 152, 27.2, 180, 34.5, 208, 30.9, 243, 28.1, 271, 24.5 
4511418, H, 2006-05-14, 1, 38.3, 30.7, -0.5, 0.0008, 10, 3.6, 9797, 93.6, 34.76, 27, 32.7, 55, 30.9, 90, 36.8, 111, 26.8, 146, 35.4, 174, 39.5, 202, 34, 237, 30.9, 265, 30, 293, 29.5 
4511360, H, 2006-05-08, 1, 38.3, 36.6, -0.5, 0.0003, 10, 6.8, 10366, 134.8, 36.09, 33, 22.7, 61, 27.2, 96, 33.6, 117, 35, 152, 32.7, 180, 26.3, 208, 32.2, 243, 50.4, 271, 38.6, 299, 33.6 
4511385, H, 2006-05-16, 1, 45.6, 35.2, -0.5, 0.0013, 10, 6.2, 10672, 84.7, 39, 25, 28.6, 53, 35.4, 88, 39.5, 109, 35, 144, 46.8, 172, 44.9, 200, 37.2, 235, 32.2, 263, 35.4, 291, 18.6 
4511428, X, 2006-05-07, 1, 31.9, 32.1, -0.5, 0.0002, 10, 2, 8858, 135, 30.67, 34, 25, 62, 25.9, 97, 32.2, 118, 32.2, 153, 32.7, 181, 30.4, 209, 27.7, 244, 30.9, 272, 28.6, 300, 32.2 
4510272, H, 2006-05-16, 1, 51.7, 27.8, -0.5, 0.0021, 10, 5.8, 10929, 60.7, 42.95, 25, 47.7, 53, 38.1, 88, 30.9, 109, 42.7, 144, 44, 172, 35.9, 200, 35.4, 235, 36.8, 263, 30, 291, 21.3 
4511429, H, 2006-05-07, 1, 38.3, 31.2, -0.5, 0.0015, 10, 7, 8765, 74.5, 32.65, 34, 30, 62, 31.8, 97, 30.9, 118, 37.2, 153, 21.8, 181, 39.5, 209, 34, 244, 11.3, 272, 27.2, 300, 26.8 
4511273, H, 2006-05-17, 1, 31.9, 32.5, -0.5, 0.0008, 10, 4.2, 8108, 96.2, 28.78, 24, 22.7, 52, 25.9, 87, 28.1, 108, 32.2, 143, 20.4, 171, 31.8, 199, 30.9, 234, 30.9, 262, 27.2, 290, 18.6 
4510278, H, 2006-05-07, 1, 33, 33.3, -0.5, 0.0013, 9, 3.9, 7740, 81.7, 28.37, 34, 22.7, 62, 23.6, 97, 33.6, 118, 29.5, 153, 30, 181, 31.8, 209, 21.8, 244, 19.5, 272, 21.8 
4511618, H, 2006-05-18, 1, 37.6, 30.7, -0.5, 0.0002, 10, 5.4, 10500, 131.7, 36.31, 23, 27.7, 51, 35.4, 86, 42.2, 107, 26.8, 142, 32.7, 170, 44.9, 198, 30.9, 233, 33.6, 261, 41.3, 289, 35 
4511438, H, 2006-05-05, 1, 36.9, 33, -0.5, 0.0004, 10, 4.3, 10011, 122.3, 34.82, 36, 30, 64, 30.9, 99, 33.6, 120, 37.2, 155, 32.7, 183, 34.5, 211, 34, 246, 44.9, 274, 32.7, 302, 26.8 
4511281, H, 2006-05-19, 1, 48.2, 36.6, -0.5, 0.0002, 10, 3.3, 13407, 159.8, 46.58, 22, 32.7, 50, 36.8, 85, 42.2, 106, 40, 141, 44, 169, 44.9, 197, 49.5, 232, 47.7, 260, 49.5, 288, 46.8 
4511404, H, 2006-05-04, 1, 35.3, 35.1, -0.5, 0.0007, 10, 5, 9132, 108.1, 32.15, 37, 27.7, 65, 28.6, 100, 33.6, 121, 24.1, 156, 38.6, 184, 38.6, 212, 23.2, 247, 33.6, 275, 28.6, 303, 26.8 
4511408, H, 2006-05-22, 1, 44, 36.6, -0.5, 0.0006, 10, 5.1, 11393, 112.8, 40.05, 19, 27.7, 47, 30.9, 82, 36.8, 103, 40, 138, 35.4, 166, 37.2, 194, 37.2, 229, 50.4, 257, 32.7, 285, 36.3 
4511373, H, 2006-04-29, 1, 38.3, 33.3, -0.5, 0.0007, 10, 7.2, 9855, 101.9, 34.79, 7, 24.1, 42, 25, 70, 38.1, 105, 33.6, 126, 35, 161, 41.3, 189, 35.9, 217, 37.2, 252, 14.1, 280, 38.6 
4510270, H, 2006-05-23, 1, 36.3, 29.3, -0.5, 0.0007, 10, 5.5, 9393, 92.7, 33.24, 18, 27.7, 46, 33.1, 81, 36.8, 102, 26.8, 137, 24.5, 165, 37.2, 193, 40, 228, 22.7, 256, 30, 284, 33.6 
4511407, H, 2006-04-29, 1, 44, 36.7, -0.5, 0.0008, 10, 5.3, 11040, 102.9, 39.18, 7, 14.1, 42, 32.7, 70, 35.4, 105, 39.5, 126, 45.4, 161, 38.6, 189, 39.5, 217, 35.4, 252, 28.1, 280, 38.6 
4511395, H, 2006-05-25, 1, 37.1, 33.5, -0.5, -0.0002, 10, 5, 10997, 0, 18.82, 16, 22.7, 44, 40.4, 79, 24.1, 100, 35, 135, 35.4, 163, 42.2, 191, 40, 226, 36.8, 254, 41.3, 282, 40 
4511399, H, 2006-04-27, 1, 38.3, 34.1, -0.5, 0.0004, 10, 5.7, 10400, 126.9, 36.17, 9, 22.7, 44, 27.7, 72, 35.4, 107, 42.2, 128, 26.8, 163, 38.6, 191, 47.7, 219, 34, 254, 33.6, 282, 30 
4511414, H, 2006-05-27, 1, 44, 36.7, -0.5, 0.0008, 10, 3.4, 11040, 102.9, 39.18, 14, 25, 42, 30.9, 77, 35, 98, 37.2, 133, 35.4, 161, 39.5, 189, 37.2, 224, 33.6, 252, 41.3, 280, 36.3 
