lactkey,Breed,CalveDate,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
4511004, H, 2006-05-28, 2, 61, 25.4, -0.8, 0.0034, 10, 5.6, 10944, 46.3, 48.16, 13, 41.3, 41, 38.1, 76, 53.6, 97, 45.4, 132, 42.7, 160, 37.2, 188, 37.2, 223, 28.1, 251, 27.2, 279, 13.2 
4510810, H, 2006-05-28, 2, 45.5, 26.2, -0.7, 0.0015, 10, 7.4, 10503, 66.5, 39.5, 13, 12.7, 41, 47.2, 76, 36.8, 97, 35, 132, 44, 160, 37.2, 188, 27.7, 223, 33.6, 251, 30, 279, 29.5 
4511898, H, 2006-05-26, 3, 54.2, 25, 0, 0.0026, 10, 9.6, 10719, 52.3, 44.36, 15, 35, 43, 44.9, 78, 50.4, 99, 15.9, 134, 32.7, 162, 39.5, 190, 21.8, 225, 36.8, 253, 27.2, 281, 26.8 
4511956, H, 2006-05-28, 2, 66.9, 26.4, -0.8, 0.0027, 10, 7, 13164, 52.9, 54.36, 13, 42.7, 41, 47.2, 76, 53.6, 97, 48.1, 132, 57.7, 160, 53.1, 188, 40, 223, 42.2, 251, 30, 279, 18.6 
4510997, H, 2006-05-25, 2, 60.6, 25.3, -0.8, 0.0029, 10, 10.1, 11587, 49.8, 48.96, 16, 37.7, 44, 19.1, 79, 47.7, 100, 48.1, 135, 41.3, 163, 42.2, 191, 40, 226, 30.9, 254, 27.2, 282, 20 
4511049, H, 2006-05-29, 2, 68.9, 20.1, -0.8, 0.0023, 10, 4.6, 14387, 47.7, 58.94, 12, 49.9, 40, 64, 75, 52.2, 96, 48.1, 131, 54.9, 159, 50.4, 187, 43.1, 222, 47.7, 250, 38.6, 278, 29.5 
4511081, H, 2006-05-23, 2, 34.2, 26.3, -0.7, 0.0004, 10, 5.8, 9427, 104.4, 32.67, 18, 15, 46, 23.6, 81, 42.2, 102, 30.9, 137, 35.4, 165, 29.1, 193, 37.2, 228, 33.6, 256, 30, 284, 26.8 
4510544, H, 2006-05-30, 4, 56.3, 10, 0, 0.0031, 10, 3.9, 10787, 28, 50.07, 11, 42.7, 39, 54.5, 74, 39.5, 95, 42.7, 130, 41.3, 158, 34.5, 186, 38.6, 221, 25.4, 249, 21.8, 277, 24.1 
4510537, H, 2006-05-21, 4, 62.4, 37.5, 0, 0.0033, 10, 5.2, 10900, 56.5, 45.98, 20, 31.3, 48, 47.2, 83, 53.6, 104, 42.7, 139, 44, 167, 39.5, 195, 27.7, 230, 28.1, 258, 24.5, 286, 20 
4511046, H, 2006-05-30, 2, 60, 22.5, -0.8, 0.0021, 10, 3.6, 12922, 53.7, 51.31, 11, 37.7, 39, 54.5, 74, 56.3, 95, 42.7, 130, 44, 158, 44.9, 186, 40, 221, 36.8, 249, 40, 277, 32.2 
4511838, H, 2006-05-21, 3, 63.8, 37.2, 0, 0.0027, 10, 5.1, 12133, 63.1, 48.83, 20, 40, 48, 47.2, 83, 50.4, 104, 48.1, 139, 38.6, 167, 53.1, 195, 34, 230, 28.1, 258, 34, 286, 26.8 
4510761, H, 2006-06-01, 3, 60.6, 39.4, 0, 0.0016, 10, 5.8, 13379, 83.1, 49.65, 9, 27.7, 37, 56.7, 72, 42.2, 93, 50.8, 128, 46.8, 156, 44.9, 184, 46.3, 219, 50.4, 247, 38.6, 275, 35 
4510854, H, 2006-05-21, 2, 41.8, 19.1, -0.8, 0.0033, 9, 8, 7648, 39.9, 34.43, 20, 37.7, 48, 49.9, 83, 19.5, 104, 33.6, 139, 31.3, 167, 23.6, 195, 15.4, 230, 25.4, 258, 10.9 
4510929, A, 2006-06-03, 2, 43.6, 23.2, -0.8, 0.002, 9, 5.5, 9471, 55.6, 37.29, 35, 33.1, 70, 30.9, 91, 37.2, 126, 44, 154, 40, 182, 23.2, 217, 28.1, 245, 24.5, 273, 24.1 
4510921, H, 2006-05-19, 2, 50.2, 24.2, -0.8, 0.0026, 10, 3.9, 9994, 50.8, 41.37, 22, 37.7, 50, 38.1, 85, 39.5, 106, 35, 141, 44, 169, 37.2, 197, 27.7, 232, 28.1, 260, 21.8, 288, 21.3 
4511962, H, 2006-06-04, 2, 48.6, 24.7, -0.8, 0.003, 9, 11.2, 9174, 48.3, 39.19, 6, 27.7, 34, 35.4, 69, 67.6, 90, 35, 125, 38.6, 153, 34.5, 181, 38.6, 216, 20.9, 244, 13.6 
4510730, H, 2006-05-15, 3, 87.4, 38.9, 0, 0.0045, 9, 7.3, 13049, 47.1, 60.23, 54, 47.2, 89, 70.4, 110, 56.3, 145, 46.8, 173, 42.2, 201, 34, 236, 22.7, 264, 24.5, 292, 21.3 
4510787, H, 2006-06-04, 3, 62.5, 8.7, 0, 0.0029, 10, 24.8, 12431, 26.4, 56.58, 6, 47.7, 34, 83.1, 69, 84.4, 90, 32.2, 125, 8.2, 153, 55.4, 181, 77.2, 216, 64.5, 244, 34, 272, 24.1 
4510939, H, 2006-05-07, 2, 55.7, 25.2, -0.8, 0.003, 10, 6.6, 10438, 48.5, 44.67, 34, 32.7, 62, 56.7, 97, 36.8, 118, 42.7, 153, 32.7, 181, 38.6, 209, 34, 244, 22.7, 272, 24.5, 300, 15.9 
4511870, H, 2006-06-06, 4, 53.5, 33.5, 0, 0.0015, 10, 4.9, 12257, 79.3, 45.36, 32, 38.1, 67, 47.7, 88, 45.4, 123, 46.8, 151, 37.2, 179, 49.5, 214, 39.5, 242, 30, 270, 42.7, 305, 30 
4510924, H, 2006-05-05, 2, 77.6, 24.5, -0.8, 0.0044, 10, 10.5, 12153, 39.3, 58.88, 36, 44.9, 64, 66.3, 99, 67.6, 120, 53.6, 155, 41.3, 183, 31.8, 211, 14.1, 246, 25.4, 274, 16.3, 302, 10.9 
4511901, H, 2006-06-06, 3, 44.4, 42.3, 0, 0.0021, 10, 5.9, 9166, 77.5, 34.8, 32, 21.3, 67, 33.6, 88, 36.3, 123, 32.7, 151, 42.2, 179, 40, 214, 28.1, 242, 21.8, 270, 21.3, 305, 21.8 
4510675, H, 2006-05-05, 3, 53.5, 12.1, 0, 0.0023, 10, 11, 11328, 35.1, 47.91, 36, 49.9, 64, 42.7, 99, 56.3, 120, 40, 155, 65.8, 183, 29.1, 211, 27.7, 246, 25.4, 274, 38.6, 302, 26.8 
4510804, H, 2006-06-06, 3, 75.2, 24.5, 0, 0.0026, 9, 4.4, 14972, 52.1, 61.81, 32, 61.7, 67, 59, 88, 53.6, 123, 61.7, 151, 56.7, 179, 46.3, 214, 42.2, 242, 34, 270, 40 
4510782, H, 2006-05-01, 3, 80.6, 20.2, 0, 0.0047, 10, 7.4, 12287, 35.3, 62.32, 5, 45.4, 40, 59.9, 68, 68.6, 103, 56.3, 124, 30.9, 159, 41.3, 187, 29.1, 215, 37.2, 250, 16.8, 278, 19.1 
4511907, H, 2006-06-07, 3, 53.5, 35.5, 0, 0.0019, 10, 5.8, 11448, 73.3, 43.55, 31, 38.1, 66, 44.9, 87, 40, 122, 41.3, 150, 53.1, 178, 34, 213, 25.4, 241, 38.6, 269, 32.2, 304, 30 
4511000, H, 2006-04-26, 2, 36.8, 23.6, -0.8, 0.0009, 10, 3.7, 9312, 73, 33.6, 10, 18.6, 45, 37.7, 73, 33.1, 108, 30.9, 129, 35, 164, 34, 192, 26.3, 220, 30.9, 255, 33.6, 283, 24.5 
4511981, H, 2006-06-08, 2, 36.6, 21.2, -0.8, 0.004, 9, 3.3, 6079, 38.5, 28.88, 30, 33.1, 65, 25.4, 86, 26.8, 121, 21.8, 149, 13.2, 177, 15.4, 212, 16.8, 240, 16.3, 268, 15.9 
4510565, H, 2006-04-26, 3, 46.1, 29.3, 0, 0.0031, 10, 15, 8417, 52.3, 35.82, 10, 8.6, 45, 49.9, 73, 73.5, 108, 39.5, 129, 29.5, 164, 30, 192, 23.6, 220, 27.7, 255, 11.3, 283, 16.3 
4511013, H, 2006-06-09, 2, 63, 22.1, -0.8, 0.0025, 10, 5.2, 12768, 49, 52.8, 29, 53.1, 64, 47.7, 85, 53.6, 120, 44, 148, 39.5, 176, 43.1, 211, 36.8, 239, 46.8, 267, 30.9, 302, 21.8 
4510549, H, 2006-04-24, 3, 68.2, 9.2, 0, 0.0038, 10, 8.9, 11980, 24.9, 59.95, 12, 65.4, 47, 49.9, 75, 33.1, 110, 50.4, 131, 56.3, 166, 41.3, 194, 29.1, 222, 30.9, 257, 25.4, 285, 16.3 
4510723, H, 2006-06-09, 3, 69.5, 40.2, 0, 0.0014, 10, 7.2, 15946, 90.6, 58.16, 29, 38.1, 64, 67.6, 85, 59, 120, 57.7, 148, 60.8, 176, 46.3, 211, 53.6, 239, 60.4, 267, 42.7, 302, 41.3 
