lactkey,Breed,CalveDate,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
2399854, H, 2005-06-24, 3, 53.5, 8.7, 0, 0.0033, 10, 5.5, 10013, 25.2, 47.79, 14, 48.1, 49, 44.5, 77, 47.2, 113, 41.8, 138, 36.3, 166, 34.5, 196, 14.5, 225, 21.8, 252, 27.2, 292, 18.2 
2399914, H, 2005-06-24, 2, 56.5, 24.3, -0.8, 0.0025, 10, 4.2, 11406, 52, 46.76, 14, 33.6, 49, 49, 77, 50.8, 113, 38.1, 138, 45.4, 166, 36.3, 196, 38.1, 225, 30.9, 252, 23.6, 292, 29.1 
2399756, H, 2005-06-24, 3, 54.4, 30, 0, 0.0033, 10, 2.2, 9630, 51, 41.64, 14, 35.4, 49, 40, 77, 40, 113, 40, 138, 34.5, 166, 29.1, 196, 30.9, 225, 27.2, 252, 21.8, 292, 16.3 
2400483, H, 2005-06-24, 2, 46.8, 25.7, -0.8, 0.0017, 10, 3.9, 10483, 62.4, 40.16, 14, 27.2, 49, 43.6, 77, 40, 113, 34.5, 138, 36.3, 166, 29.1, 196, 36.3, 225, 36.3, 252, 34.5, 292, 25.4 
2399784, H, 2005-06-23, 3, 73.8, 28.1, 0, 0.0031, 10, 4.6, 13577, 51.5, 57.89, 15, 40.9, 50, 67.2, 78, 58.1, 114, 52.7, 139, 45.4, 167, 40, 197, 40, 226, 40, 253, 30.9, 293, 30 
2400525, H, 2005-06-24, 2, 42.1, 23.8, -0.8, 0.0026, 10, 3.4, 8343, 50, 34.72, 14, 25.4, 49, 36.3, 77, 36.3, 113, 25.4, 138, 34.5, 166, 29.1, 196, 27.2, 225, 23.6, 252, 20, 292, 15.4 
2400460, H, 2005-06-22, 2, 50.2, 19.1, -0.8, 0.0027, 10, 4.5, 9913, 43.3, 42.34, 16, 47.2, 51, 40, 79, 41.8, 115, 34.5, 140, 32.7, 168, 36.3, 198, 21.8, 227, 29.1, 254, 27.2, 294, 18.2 
2398172, J, 2005-06-25, 6, 27.9, 23.7, 0, 0.0043, 9, 2.9, 4420, 39.9, 21.3, 13, 16.3, 48, 21.8, 76, 23.6, 112, 16.3, 137, 16.3, 165, 14.5, 195, 10.9, 224, 5.4, 251, 4.5 
2400291, H, 2005-06-22, 2, 44.7, 19.9, -0.8, 0.0043, 10, 3, 7169, 35.8, 35.26, 16, 31.8, 51, 36.3, 79, 38.1, 115, 29.1, 140, 21.8, 168, 18.2, 198, 20, 227, 16.3, 254, 12.7, 294, 9.1 
2399371, H, 2005-06-25, 4, 42.7, 27.6, 0, 0.0033, 10, 2.5, 7684, 49.7, 33.29, 13, 28.1, 48, 32.7, 76, 30.9, 112, 30.9, 137, 32.7, 165, 21.8, 195, 21.8, 224, 16.3, 251, 20, 291, 17.3 
