lactkey,Breed,CalveDate,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
3891697, H, 2007-02-16, 1, 44, 36.7, -0.5, 0.0008, 10, 3.8, 11040, 102.9, 39.18, 18, 23.6, 46, 29.1, 76, 40, 109, 38.1, 137, 36.3, 172, 36.3, 200, 39, 235, 40.9, 264, 36.8, 291, 31.8 
3890679, H, 2007-02-23, 1, 44, 34.5, -0.5, 0.0007, 9, 5.6, 11396, 106.9, 40.11, 11, 27.7, 39, 34.5, 69, 33.1, 102, 42.2, 130, 39, 165, 50.8, 193, 44.5, 228, 30.9, 257, 32.7 
3890681, H, 2007-02-14, 1, 44, 36.7, -0.5, 0.0008, 10, 4.9, 11040, 102.8, 39.18, 20, 23.6, 48, 31.8, 78, 37.2, 111, 35.4, 139, 44.5, 174, 40.4, 202, 44.5, 237, 38.1, 266, 31.3, 293, 29.1 
3891698, H, 2007-02-23, 1, 45.7, 32.8, -0.5, 0.0008, 10, 5, 11654, 98, 41.3, 11, 23.6, 39, 37.7, 69, 40.9, 102, 45.9, 130, 39, 165, 49.9, 193, 30.4, 228, 40.9, 257, 38.6, 284, 33.1 
3890685, H, 2007-02-13, 1, 38.3, 36.6, -0.5, 0.0003, 10, 4.4, 10357, 134.2, 36.06, 21, 22.2, 49, 21.3, 79, 37.2, 112, 35.4, 140, 37.7, 175, 39, 203, 36.3, 238, 32.2, 267, 36.8, 294, 33.1 
3891700, H, 2007-02-23, 1, 39.8, 29.8, -0.5, 0.0017, 10, 3.5, 8951, 70, 33.77, 11, 21.8, 39, 39, 69, 29.1, 102, 34, 130, 30.9, 165, 33.1, 193, 31.8, 228, 25.4, 257, 27.7, 284, 20.9 
3890673, H, 2007-02-10, 1, 50, 33.3, -0.5, 0.0013, 9, 4.5, 11769, 82.5, 43.05, 24, 38.6, 52, 35.4, 82, 44.5, 115, 41.3, 143, 43.1, 178, 47.2, 206, 42.7, 241, 30.9, 270, 30.9 
3891701, H, 2007-02-24, 1, 47.3, 32.7, -0.5, 0.001, 10, 4.4, 11597, 88.8, 41.72, 10, 23.6, 38, 36.3, 68, 44.9, 101, 47.2, 129, 37.7, 164, 43.6, 192, 41.8, 227, 30.9, 256, 40, 283, 31.8 
3891694, H, 2007-02-09, 1, 49.7, 31.6, -0.5, 0.0008, 10, 2.6, 12724, 96.1, 45.08, 25, 37.2, 53, 44, 83, 42.2, 116, 48.6, 144, 40.4, 179, 45.9, 207, 46.3, 242, 38.1, 271, 39.5, 298, 40 
3891703, H, 2007-03-03, 1, 43.6, 32.5, -0.5, 0.0007, 10, 3.5, 11205, 99.4, 39.6, 31, 35.4, 61, 35.4, 94, 37.2, 122, 41.8, 157, 38.6, 185, 43.1, 220, 39, 249, 37.2, 276, 27.7, 304, 37.7 
3890668, H, 2007-02-07, 1, 38.5, 32.9, -0.5, 0.0007, 10, 3.9, 9938, 101.5, 35.07, 27, 31.8, 55, 24.5, 85, 36.8, 118, 38.6, 146, 35, 181, 38.1, 209, 36.3, 244, 29.5, 273, 28.1, 300, 30.4 
3891704, H, 2007-03-14, 1, 51.8, 32.2, -0.5, 0.0009, 9, 4.4, 13053, 93.4, 46.5, 20, 37.7, 50, 38.1, 83, 55.8, 111, 43.1, 146, 43.6, 174, 49, 209, 43.6, 238, 38.6, 265, 41.3 
3891964, H, 2007-02-06, 1, 39.2, 31.7, -0.5, 0.0011, 10, 5.1, 9559, 85.3, 34.55, 28, 37.2, 56, 23.2, 86, 34.5, 119, 35.9, 147, 30.9, 182, 39.5, 210, 34, 245, 32.2, 274, 25.4, 301, 25 
3890695, X, 2007-03-14, 1, 44.7, 31.3, -0.5, 0.001, 10, 2.1, 11128, 88.5, 39.9, 20, 32.7, 50, 36.8, 83, 40, 111, 39, 146, 39.5, 174, 41.8, 209, 35, 238, 37.2, 265, 30.4, 293, 35 
3891693, H, 2007-02-06, 1, 38.3, 26.9, -0.5, 0.0008, 10, 4.8, 9865, 85.3, 35.08, 28, 34.5, 56, 34.5, 86, 35.9, 119, 40, 147, 22.7, 182, 29.5, 210, 36.3, 245, 28.6, 274, 35.4, 301, 31.8 
3890662, H, 2007-03-14, 1, 47.7, 32.7, -0.5, 0.0008, 10, 4, 12081, 96, 42.91, 20, 39, 50, 34, 83, 41.3, 111, 41.8, 146, 49.9, 174, 43.1, 209, 36.3, 238, 40, 265, 40, 293, 35 
3890652, H, 2007-02-02, 1, 50.6, 33.7, -0.5, 0.0004, 10, 3.6, 13567, 118.7, 47.31, 32, 43.1, 60, 38.1, 90, 45.9, 123, 47.2, 151, 49.9, 186, 52.2, 214, 49, 249, 43.6, 278, 44.9, 305, 40 
